gs,ACH-000439,ACH-000789,ACH-000531,ACH-000399,ACH-000175
TFE3,3.265517157,3.610912148,5.681865197,4.619134326,5.5332935
MMADHC,5.804614609,6.427400857,6.781292559,6.828654976,6.931604433
PABPC1L,1.777635659,4.756975992,1.889260153,5.524086806,3.401655833
RELL2,4.185834941,4.364493971,2.070912226,2.794511464,1.908338247
GPT,0.389024861,0.929381938,-0.009340088,1.020184577,0.317444464
GUSB,6.593342144,4.866418462,4.449645039,6.809542541,4.996837007
H4-16,0.410244348,3.438091534,0.592160407,2.244451739,0.363073334
DDB2,4.41138094,3.507873067,5.038112082,5.376555199,5.503118501
RPS4X,11.64489025,9.286230751,9.719577701,8.473538724,9.536603683
HINFP,4.744029632,4.121231623,2.800873662,4.868779157,3.129753928
ZFP1,1.15686657,2.626006354,2.441750954,3.279400864,2.539259185
LDAH,3.070436505,4.451045849,3.322853069,3.905630688,3.052789581
NDUFA7,6.16913792,6.656642493,5.670371152,6.969965973,5.585594888
PTPN11,5.328184069,6.249038506,5.925417821,6.359205232,5.801432186
ROGDI,3.223819808,4.1377155,3.438815354,5.326740696,4.135914132
DTNBP1,3.950602826,4.113482721,3.174369705,5.273196843,3.635511124
GNG10,3.265780098,5.906475443,6.104867316,6.444168099,7.055003097
PBX2,5.856698969,4.579416052,4.583843845,5.005163735,5.105915372
ANK3,0.016962136,1.143411537,0.579449792,2.017184997,0.326302344
FAM234B,2.601378787,3.40421319,2.114458482,2.836766536,1.923184829
LBP,0.0426053,0.010262826,0.05853949,0.010262826,0.0426053
PRDM2,3.454741147,3.477180907,2.841218132,4.692532637,3.43316375
CDC27,3.854232943,6.03262411,5.450800481,5.623182344,5.725698009
ADTRP,0.012072856,0.012072856,0.907312827,0.012072856,2.299575297
MAN2B2,2.796644682,2.386783173,4.914684586,3.796866789,5.115559318
PCDHGB3,0.256985103,0.928880222,1.188030957,0.185400431,1.790454757
METTL2A,2.939633307,3.989955641,3.292825675,4.654507851,3.528132432
COG1,3.637404965,4.691247088,4.187423665,5.681927273,4.435503779
ADRM1,6.933124721,6.420621353,5.996772406,6.475293407,6.403888148
EDC3,4.589126389,5.087420847,3.91201507,4.146300608,3.978650919
CYB5R4,3.602208837,3.845083868,3.180529317,4.415273544,3.098673164
CLTCL1,1.376571303,1.614833832,3.200296201,4.922418279,2.98568147
FCAMR,0.006235245,0.01970825,-0.007371823,0.059348678,-0.007371823
C2CD4A,-0.020408331,3.426139705,-0.007093577,1.883883891,-0.020408331
TRIM71,3.64714495,0.009558781,-0.023192758,0.041674328,-0.023192758
NT5M,1.509906269,2.450660359,0.918529784,3.374359949,0.798192157
CASP8,3.545575681,3.435741269,2.853862983,5.061565855,2.739664191
ZBTB2,3.349904932,3.524661128,2.936879065,4.293710105,3.571129206
SFR1,3.016150517,2.856764952,1.937305239,3.437741622,2.738409315
CERS2,7.725890465,7.893354765,6.523211927,7.056794681,7.160245682
EVX1,-0.009967642,0.457240852,-0.009967642,0.041264004,-0.009967642
NOG,3.992250867,-0.000695526,3.501918991,-0.064581536,2.912727438
CLU,5.30141262,1.87092571,7.98065031,9.536838964,9.351321398
TENT2,4.600684064,4.64193081,3.963167476,4.422088269,4.733646159
EPHB6,0.552404682,0.033235959,0.099889821,0.175915535,0.28276184
SHISA5,6.731512743,3.874003273,7.01976461,5.097021389,6.917863825
GPR182,0.068899728,0.149322376,-0.006516686,0.05843046,0.047862887
NEMP2,1.961548077,1.310377775,1.360309645,3.929548194,1.641263161
CBY2,-0.014325598,0.779374724,-0.014325598,1.246954097,-0.014325598
KCNC2,-0.002321898,0.520168655,-0.002321898,0.0105003,0.0105003
GLYATL2,0.019388524,0.046655303,0.959963249,2.97739711,0.631688592
ZFP41,2.851418008,2.666751444,2.032459412,3.738896369,1.934798793
NPAP1,-0.000471541,-0.000471541,-0.000471541,-0.000471541,-0.000471541
GATD3A,3.515481217,5.603419948,2.088022952,5.288697625,4.184354859
NLK,3.529807642,4.149538348,2.759509609,3.523179111,2.748553368
ARID2,2.926858406,3.739158544,1.813020938,4.301343563,2.397519742
SLC5A2,0.059329976,0.089929802,0.11974827,1.369557757,0.089929802
CDHR1,0.00253289,2.948653499,0.057333239,4.970571347,0.043831398
THRAP3,5.673979856,6.08692724,5.177529268,6.485913338,5.788294574
IER5L,0.754297401,1.339483147,2.424506671,0.555884883,3.371559501
ARL16,5.233117993,6.328317639,5.456598222,5.499431914,5.848901786
TLCD5,0.14039205,2.064948127,3.246836766,3.700960278,2.993128214
DCAF5,3.394851317,5.044606997,3.939242969,5.209785138,4.357545716
