genes,samples,preds
ELOB,ACH-000439,0.5778611
PSMC5,ACH-000439,0.6228388
DNAJC9,ACH-000439,0.5789226
DKC1,ACH-000439,0.5634026
PPP1R7,ACH-000439,0.7579639
SNRPE,ACH-000439,0.45519206
ORC1,ACH-000439,0.7029426
ZNHIT3,ACH-000439,0.7623386
TAF8,ACH-000439,0.7073002
UMPS,ACH-000439,0.7239221
HDAC1,ACH-000439,0.84727013
CHKA,ACH-000439,0.81200576
SRSF10,ACH-000439,0.71011794
RPL18,ACH-000439,0.5415412
CCDC51,ACH-000439,0.84253246
SYMPK,ACH-000439,0.66124225
WDR33,ACH-000439,0.4730792
CTPS1,ACH-000439,0.70154184
RPS2,ACH-000439,0.55737996
CSE1L,ACH-000439,0.46200702
ACTR3,ACH-000439,0.81443894
MRPL41,ACH-000439,0.7561015
MALSU1,ACH-000439,0.8454073
MTF1,ACH-000439,0.82389337
CNOT4,ACH-000439,0.8084118
NDUFA3,ACH-000439,0.8191507
CBLL1,ACH-000439,0.8088532
INTS9,ACH-000439,0.57700074
CSH2,ACH-000439,0.8125399
SIN3A,ACH-000439,0.6873135
GNL2,ACH-000439,0.60243946
HCCS,ACH-000439,0.83175904
H2BC21,ACH-000439,0.6849368
NF2,ACH-000439,0.9323764
PRPF4,ACH-000439,0.5445251
VIRMA,ACH-000439,0.7060558
ZPR1,ACH-000439,0.6604637
RANGAP1,ACH-000439,0.56200063
POLR2B,ACH-000439,0.46408337
POLD3,ACH-000439,0.5186307
MDN1,ACH-000439,0.56329525
CDC26,ACH-000439,0.757493
AARS2,ACH-000439,0.7167834
CDAN1,ACH-000439,0.7013027
TRNT1,ACH-000439,0.6103741
MSTO1,ACH-000439,0.8929306
H2BC11,ACH-000439,0.57800835
LRPPRC,ACH-000439,0.73194104
HSPD1,ACH-000439,0.54684705
FANCF,ACH-000439,0.80561656
SNRNP40,ACH-000439,0.61243176
RELA,ACH-000439,0.7936563
ECT2,ACH-000439,0.7087801
TAF1B,ACH-000439,0.6568968
DBR1,ACH-000439,0.44003868
RRM1,ACH-000439,0.43013322
ATP6AP1,ACH-000439,0.6477052
ZNF236,ACH-000439,0.8368123
PAK2,ACH-000439,0.8655335
GTF2E2,ACH-000439,0.62346935
SNAP23,ACH-000439,0.7376051
DAD1,ACH-000439,0.4882807
TUBGCP6,ACH-000439,0.68047965
SEM1,ACH-000439,0.7135165
IGBP1,ACH-000439,0.6085558
WDR48,ACH-000439,0.76969004
DTL,ACH-000439,0.45466506
COX15,ACH-000439,0.82009727
HAUS3,ACH-000439,0.6495356
CIAO2B,ACH-000439,0.65956706
CDK7,ACH-000439,0.5033642
MRPL3,ACH-000439,0.7327737
CYB5R4,ACH-000439,0.83192545
HTATSF1,ACH-000439,0.71667343
EIF3G,ACH-000439,0.6752917
TXNRD1,ACH-000439,0.7931753
HSCB,ACH-000439,0.73682153
TAF10,ACH-000439,0.7422244
EIF5,ACH-000439,0.615328
HUS1,ACH-000439,0.7672208
MED24,ACH-000439,0.7230469
COX19,ACH-000439,0.76214725
PRPF39,ACH-000439,0.7868786
DDX54,ACH-000439,0.5996208
HSP90B1,ACH-000439,0.7644351
RPL17,ACH-000439,0.27553988
HYPK,ACH-000439,0.7144541
POM121C,ACH-000439,0.76762456
LSM4,ACH-000439,0.5244418
MAPK1,ACH-000439,0.84017795
TRAPPC2L,ACH-000439,0.8460947
RPS8,ACH-000439,0.27304983
MED19,ACH-000439,0.7118985
SGO1,ACH-000439,0.7204417
SRBD1,ACH-000439,0.6166099
UBE2G2,ACH-000439,0.80572724
NDC1,ACH-000439,0.75161266
SUZ12,ACH-000439,0.7161112
BRIP1,ACH-000439,0.7793625
MNAT1,ACH-000439,0.7147651
CDC123,ACH-000439,0.4714802
HSPE1,ACH-000439,0.17270507
QRSL1,ACH-000439,0.8293008
UXT,ACH-000439,0.6635953
RHEB,ACH-000439,0.73794883
KLF5,ACH-000439,0.8533265
PTPMT1,ACH-000439,0.7523299
LAMTOR3,ACH-000439,0.76882887
RBM15,ACH-000439,0.77540827
PPP1CA,ACH-000439,0.7511219
PGGT1B,ACH-000439,0.7443646
CDC45,ACH-000439,0.41942516
INTS14,ACH-000439,0.83641
KARS1,ACH-000439,0.5567245
SKP2,ACH-000439,0.7878461
NUP107,ACH-000439,0.64191675
MRPS18B,ACH-000439,0.83245325
RAB10,ACH-000439,0.7965165
HNRNPF,ACH-000439,0.8070546
RGP1,ACH-000439,0.714396
COPS8,ACH-000439,0.6550758
FAM50A,ACH-000439,0.7407497
NXT1,ACH-000439,0.7900611
WARS1,ACH-000439,0.6474306
SLC25A3,ACH-000439,0.72665304
TP63,ACH-000439,0.92983043
CAPRIN1,ACH-000439,0.88046527
COX6C,ACH-000439,0.7855056
FLII,ACH-000439,0.83327013
METTL3,ACH-000439,0.7520847
NDUFA8,ACH-000439,0.7365527
ZNHIT6,ACH-000439,0.6907407
WAC,ACH-000439,0.7893317
TADA1,ACH-000439,0.90994865
PBRM1,ACH-000439,0.81623876
IMP4,ACH-000439,0.611
PELO,ACH-000439,0.7334877
CPSF6,ACH-000439,0.71507365
AATF,ACH-000439,0.72509915
RPF1,ACH-000439,0.67172694
POLR1C,ACH-000439,0.5401063
RPS3A,ACH-000439,0.3188009
PCYT1A,ACH-000439,0.6999234
CHERP,ACH-000439,0.6731747
PPP4R2,ACH-000439,0.7653649
PPP1R15B,ACH-000439,0.77746475
AHCY,ACH-000439,0.747239
GUK1,ACH-000439,0.6278452
SNAPC5,ACH-000439,0.6047157
MEPCE,ACH-000439,0.6562841
GFER,ACH-000439,0.69875556
BUB3,ACH-000439,0.39321536
UPF2,ACH-000439,0.5867257
RRAGA,ACH-000439,0.8226636
BRD2,ACH-000439,0.8031751
MVD,ACH-000439,0.7523709
SNRPB,ACH-000439,0.51984006
SNRPG,ACH-000439,0.53058106
HMGCR,ACH-000439,0.7345733
TACC3,ACH-000439,0.75822616
PHAX,ACH-000439,0.6402234
SGF29,ACH-000439,0.7784287
CCNA2,ACH-000439,0.67252696
EXOSC1,ACH-000439,0.7286045
VPS29,ACH-000439,0.7636412
NDUFA4,ACH-000439,0.77242506
VDAC1,ACH-000439,0.72810984
GTPBP10,ACH-000439,0.84511936
TUBGCP2,ACH-000439,0.6915313
CPSF4,ACH-000439,0.60682726
MCM7,ACH-000439,0.506141
ARPC4,ACH-000439,0.7047902
COPS6,ACH-000439,0.547503
RBM5,ACH-000439,0.78852177
JMJD6,ACH-000439,0.79457986
RIC1,ACH-000439,0.767167
RRP1,ACH-000439,0.71926904
CDK1,ACH-000439,0.4081583
DIS3,ACH-000439,0.73823214
RAC3,ACH-000439,0.803897
TAF7,ACH-000439,0.7081026
H3-3A,ACH-000439,0.61662644
SOS1,ACH-000439,0.852877
DPY19L2,ACH-000439,0.8321946
WDR43,ACH-000439,0.5552169
