"","mean","sd","max","min"
"A1BG",-0.0764697433514431,0.101781250263961,0.413391507,-0.630253514
"A1CF",-0.0785194062665535,0.10542438886797,0.394305233,-0.833192882
"A2M",0.0402458036680815,0.096077456625674,0.443071968,-0.333848601
"A2ML1",0.0686054476485569,0.098094264327441,0.464327124,-0.372058295
"A3GALT2",-0.107363705354839,0.121346459774449,0.363671868,-0.697651697
"A4GALT",-0.0714593174541596,0.110353748202082,0.429730627,-0.639746635
"A4GNT",0.0317074378106961,0.099975413715398,0.414862562,-0.45225159
"AAAS",-0.123486031172326,0.192767160547968,0.522228921,-1.088133704
"AACS",-0.0274208888480475,0.118287626692708,0.38662738,-0.862254412
"AADAC",0.110992398104414,0.105410321932809,0.544605628,-0.30290844
"AADACL2",-0.0344572032249576,0.0964884171767837,0.34980951,-0.417480391
"AADACL3",0.0762821843938879,0.104570592941099,0.672390751,-0.314263062
"AADACL4",-0.00327824877843803,0.0864944003080595,0.472142759,-0.485977482
"AADAT",-0.0572112077410866,0.101011810094573,0.311494991,-0.624299747
"AAGAB",0.0163614716706282,0.124414868686106,0.512663045,-0.607539048
"AAK1",-0.134518513637521,0.116710833327306,0.385947266,-0.595982131
"AAMDC",-0.0349121894533107,0.0978014087246358,0.375154223,-1.37319897
"AAMP",-1.17762015060357,0.269996856482065,0.249264309,-2.601892457
"AANAT",-0.0782201719651952,0.110973399778809,0.511950253,-0.571394381
"AAR2",-0.0344571122249576,0.125888457149686,0.430544048,-0.683911331
"AARD",-0.106993088409168,0.128402789593555,0.422725591,-0.991366549
"AARS1",-2.01092854681494,0.339971404075982,-0.697412165,-3.362103678
"AARS2",-0.459415656354839,0.275815401273106,0.348228693,-1.722597998
"AARSD1",-0.180004290022071,0.117787988628834,0.320059422,-0.778339497
"AASDH",-0.116462765326825,0.104608189327056,0.284985404,-0.426519578
"AASDHPPT",-0.292582992468591,0.205109418541914,0.34480907,-1.228805908
"AASS",0.0162457988539898,0.112034524270475,0.450485447,-0.714231799
"AATF",-0.866678754337861,0.214756747592035,-0.180839675,-1.605360315
"AATK",-0.159795211076401,0.131290811579265,0.285821026,-0.93908865
"ABAT",-0.0295564389363328,0.116306602313943,0.465045387,-0.461084872
"ABCA1",0.00687031429202037,0.106364776279462,0.526100323,-0.507524953
"ABCA10",-0.0490051049320883,0.133752969011446,0.397425299,-0.626201394
"ABCA12",0.00187794381494058,0.122698911299306,0.551219528,-0.555831048
"ABCA13",-0.0529509859117148,0.0965496504672741,0.329645222,-0.65560926
"ABCA2",0.0379452766977929,0.111731897636341,0.465157631,-0.617284264
