Genes involved in Genesets,HVGs in CRIPSR Effect
AASDHPPT,AAMP
ALDH1L1,AARS1
ALDH1L2,AARS2
MTHFD1,AASDHPPT
MTHFD1L,AATF
MTHFD2L,ABCB7
BOLA2,ABCE1
BOLA2B,ABCF1
GLRX3,ABHD11
GLRX5,ABT1
HSCB,ACACA
NFS1,ACIN1
AADAT,ACLY
ADHFE1,ACO2
D2HGDH,ACSL3
DLST,ACSL4
GOT1,ACTB
GOT2,ACTG1
GPT2,ACTL6A
IDH1,ACTR10
IDH2,ACTR1A
IDH3B,ACTR2
KYAT3,ACTR3
L2HGDH,ACTR5
MRPS36,ACTR6
OGDH,ACTR8
OGDHL,ADAR
PHYH,ADAT2
TAT,ADAT3
PAPSS1,ADNP
PAPSS2,ADRM1
SLC26A1,ADSL
SLC26A2,ADSS2
SLC35B2,AFG2A
SLC35B3,AFG2B
ABHD14B,AFG3L2
BPNT1,AHCTF1
ENPP1,AHCY
SULT1A1,AHCYL1
SULT1A2,AHR
SULT1A3,AIFM1
SULT1A4,AIRIM
SULT1B1,AK2
SULT1C3,AK6
SULT1C4,AKIRIN2
SULT1E1,ALDH18A1
SULT2A1,ALDOA
SULT2B1,ALG1
TPST1,ALG11
TPST2,ALG12
CPEB3,ALG13
DHX36,ALG14
DND1,ALG2
HNRNPD,ALG8
KHSRP,ALYREF
MOV10,AMBRA1
PLEKHN1,AMD1
RBM24,ANAPC1
RC3H1,ANAPC10
TARDBP,ANAPC11
TRIM71,ANAPC13
UPF1,ANAPC15
ZC3H12A,ANAPC2
ZC3H12D,ANAPC4
ZFP36,ANAPC5
ZFP36L1,ANKLE2
ZFP36L2,ANKRD11
ANGEL2,ANKRD17
BOLL,ANKRD49
DAZ1,ANKRD52
DAZ2,ANLN
DAZ3,AP1G1
DAZ4,AP2M1
DAZL,AP2S1
ELAVL1,APC
ELAVL4,APEX2
HNRNPA0,AQP7
HNRNPC,AQR
LARP4B,ARCN1
MAPK14,ARF1
MAPKAPK2,ARF4
METTL16,ARF6
MYD88,ARFRP1
RBM10,ARGLU1
TENT4A,ARHGAP29
TENT4B,ARHGEF7
TIRAP,ARID1A
YBX3,ARID2
GTF3C1,ARID4B
GTF3C2,ARIH1
GTF3C3,ARIH2
GTF3C4,ARL2
GTF3C5,ARMC5
GTF3C6,ARMC7
PRPS1,ARNT
PRPS1L1,ARPC3
PRPS2,ARPC4
PRPSAP1,ASCC3
PRPSAP2,ASCL1
PYGL,ASNS
AURKB,ASPM
CHMP4C,ATF4
IST1,ATG9A
SPART,ATIC
VPS4A,ATL2
ZFYVE19,ATMIN
ADORA2A,ATP1A1
CHRNA3,ATP1B3
SLC18A3,ATP2A2
SLC22A1,ATP2B1
SLC44A4,ATP2C1
TACR2,ATP5F1A
ACHE,ATP5F1B
BCHE,ATP5F1C
CHAT,ATP5F1D
COLQ,ATP5F1E
SLC5A7,ATP5ME
ACAT1,ATP5MF
ACLY,ATP5MG
ACSS1,ATP5PB
ACSS2,ATP5PO
DIP2A,ATP6AP1
DLAT,ATP6AP2
DLD,ATP6V0B
MLYCD,ATP6V0C
MPC2,ATP6V0D1
PDHA1,ATP6V0E1
PDHA2,ATP6V1A
PDHB,ATP6V1B2
PDHX,ATP6V1C1
PDK1,ATP6V1D
PDK2,ATP6V1E1
PDK3,ATP6V1F
PDK4,ATP6V1G1
PPCS,ATP6V1H
AASS,ATR
ACACA,ATRIP
ACACB,ATXN7L3
ACOT12,AURKA
HMGCS1,AURKB
HMGCS2,BANF1
MVD,BANP
MVK,BAP1
NUDT7,BARD1
NUDT8,BCAR1
PIPOX,BCAS2
PMVK,BCL2L1
TDO2,BCL6
ABAT,BCL9
ADORA1,BCLAF1
APBA1,BCS1L
ARL6IP1,BDP1
ARL6IP5,BET1
ATP1A2,BIRC2
AVP,BIRC5
AVPR1A,BIRC6
AVPR1B,BLTP2
CLN8,BMPR1A
DTNBP1,BMS1
GABBR1,BNIP1
GIPC1,BOP1
GJA1,BORA
GRM1,BPTF
GRM2,BRAF
GRM7,BRAP
HRH3,BRAT1
ITGB1,BRCA1
KCNJ10,BRCA2
KMO,BRD2
LRRC8A,BRD4
LRRC8C,BRD9
LRRC8D,BRF1
LRRC8E,BRF2
NF1,BRIP1
NPY5R,BRIX1
NTRK2,BRK1
NTSR1,BRPF1
P2RX7,BTAF1
PER2,BTF3
PRAF2,BTF3L4
PSEN1,BUB1B
RAB3GAP1,BUB3
SLC12A2,BUD13
SLC17A6,BUD23
SLC17A7,BUD31
SLC17A8,BYSL
SLC1A1,C19orf25
SLC1A2,C19orf53
SLC1A3,C1D
SLC1A4,C1QBP
SLC1A6,C3orf38
SLC1A7,CAB39
SLC25A12,CACTIN
SLC25A13,CAD
SLC25A18,CAMLG
SLC25A22,CAND1
SLC38A7,CAP1
SLC3A1,CAPRIN1
SLC6A1,CAPZB
SLC6A13,CARM1
SLC6A6,CARS1
SLC7A11,CARS2
SLC7A13,CASC3
SLC9A3R1,CBFB
SNCA,CBLL1
STXBP1,CCAR1
SYT4,CCDC115
TNF,CCDC159
TRH,CCDC174
TRPV1,CCDC22
ABCB11,CCDC51
ABCB4,CCDC6
AGXT,CCDC86
CASR,CCL4
CCKBR,CCNA2
CES1,CCNB1
CHRM5,CCNC
DRD2,CCND1
DRD3,CCND2
GHRL,CCND3
HIP1R,CCNE1
HRH2,CCNF
HTR1B,CCNH
KCNQ1,CCNK
MIR33A,CCNL1
MYC,CCT2
OPRL1,CCT3
OXT,CCT4
OXTR,CCT5
PRKAA1,CCT6A
PTGER3,CCT7
SCT,CCT8
SGK1,CD2BP2
SLC10A1,CDAN1
SLC22A16,CDC123
SLC26A6,CDC16
SLC26A7,CDC20
SLC51A,CDC23
SLC51B,CDC25B
SLC9A4,CDC26
SNX10,CDC27
SV2A,CDC37
TFF2,CDC40
TRPC4,CDC42
UCN,CDC45
UGT1A3,CDC5L
EQTN,CDC6
HYAL3,CDC7
RAB3A,CDC73
RIMS1,CDCA3
SYT6,CDCA5
UNC13B,CDCA8
ZP3,CDH1
ZP4,CDH2
ACRBP,CDIN1
ACTL7A,CDIPT
ACTL9,CDK1
CCDC136,CDK12
FABP9,CDK13
KNL1,CDK2
NECTIN2,CDK4
PAFAH1B1,CDK6
PLA2G3,CDK7
RFX2,CDK8
SOX30,CDK9
SPACA1,CDKN1A
SPINK2,CDS2
TBC1D20,CDT1
TBPL1,CEBPZ
TMF1,CENATAC
ZPBP,CENPA
ZPBP2,CENPC
ABHD2,CENPE
ACR,CENPH
ADCY3,CENPI
AKAP3,CENPK
B4GALT1,CENPM
CACNA1H,CENPN
CCDC87,CENPO
CRISP1,CENPP
FAM170B,CENPT
GLRA1,CENPW
GLRB,CEP192
IFTAP,CEP43
IQCF1,CEP55
PCSK4,CEP85
PKDREJ,CEPT1
PLA2G10,CERS2
PLB1,CFAP20
PLCB1,CFAP298
PLCD4,CFL1
POMZP3,CFLAR
PRND,CHAF1A
PRSS37,CHAF1B
ROPN1B,CHCHD1
SERPINA10,CHCHD4
SPESP1,CHD1
SPINK1,CHD4
SPINK13,CHD7
STX2,CHD8
TNP2,CHEK1
TRIM36,CHERP
ZP2,CHKA
AIF1,CHMP2A
BAIAP2,CHMP3
BAIAP2L1,CHMP4B
BAIAP2L2,CHMP5
DPYSL3,CHMP6
EPS8,CHMP7
FLNA,CHORDC1
GAS2,CHP1
GAS2L1,CHTF18
GAS2L2,CHTF8
GAS2L3,CIAO1
LCP1,CIAO2A
MARCKS,CIAO2B
TNNT2,CIAO3
ABI3,CIAPIN1
ABL1,CINP
ABL2,CIP2A
ANTXR1,CIT
ANXA1,CKAP5
ARAP1,CKS1B
ARHGDIA,CLASRP
ARHGDIB,CLNS1A
ASB2,CLP1
ATP2C1,CLPB
AUTS2,CLSPN
BCAR1,CLTC
BCAS3,CMIP
BRSK2,CMPK1
CAPN10,CMTR1
CASS4,CNIH4
CCL27,CNOT1
CD2AP,CNOT11
CDC42,CNOT2
CDC42BPA,CNOT3
CDC42BPB,CNOT4
CDC42BPG,CNOT9
CDK5,COA3
CLDN19,COA5
CLDN3,COA6
CSF1R,COA7
CSF3,COASY
CTTN,COG1
CXADR,COG2
DAPK3,COG3
DMTN,COG5
EFS,COG7
ESAM,COG8
EZR,COP1
F11R,COPA
FARP2,COPB1
FER,COPB2
FES,COPE
FGF10,COPG1
FGF7,COPS2
GAB1,COPS3
GDPD2,COPS4
GMFG,COPS5
GPR65,COPS6
GRB2,COPS8
GSN,COPZ1
HAX1,COQ2
HCK,COQ4
HCLS1,COQ7
HMCN1,COX10
HRAS,COX11
INSRR,COX15
IQGAP2,COX17
KIT,COX18
MCU,COX19
MDK,COX4I1
MICALL2,COX5A
MINK1,COX5B
MKLN1,COX6A1
MYH9,COX6B1
NEDD9,COX6C
NOTCH2,COX7B
NPHS2,COX7C
NRK,CPOX
NRP1,CPSF1
NTF3,CPSF2
NTRK3,CPSF3
PAK1,CPSF4
PARVA,CPSF6
PARVB,CRAMP1
PARVG,CRCP
PDGFRA,CREBBP
PDLIM4,CRIPTO
PHACTR1,CRK
PHPT1,CRKL
PIP5K1A,CRLS1
PLEC,CRNKL1
PLEK,CRTC3
PLEK2,CSDE1
PTK2B,CSE1L
PTK7,CSH2
PTPN1,CSK
RALA,CSNK1A1
RAP2A,CSNK2A1
RAPGEF3,CSNK2B
RHOA,CSTF1
RICTOR,CSTF2
S1PR1,CSTF3
S1PR2,CTC1
SEMA3E,CTCF
SHC1,CTDNEP1
SIPA1L1,CTDP1
STAP1,CTDSPL2
SYDE1,CTNNA1
TEK,CTNNB1
THSD7A,CTNNBL1
THSD7B,CTPS1
TJP1,CTR9
TNIK,CTU1
TRPM2,CTU2
TRPV4,CUL1
WHAMM,CUL2
ACTA2,CUL3
ACTC1,CWC22
ACTN4,CWF19L2
AKAP9,CXXC1
ANK2,CYB5B
ATP1A1,CYB5R4
ATP2A1,CYC1
ATP2A2,CYCS
BIN1,DAD1
CACNA1C,DAP3
CACNA1D,DARS1
CACNA1G,DARS2
CACNA2D1,DAXX
CACNB2,DAZAP1
CAMK2D,DBF4
CAV1,DBR1
CAV3,DCAF15
CCDC88C,DCLRE1B
CTNNA3,DCP2
DLG1,DCPS
DSC2,DCTN2
DSG2,DCTN3
DSP,DCTN5
EMP2,DCTN6
EPB41L5,DDB1
EPDR1,DDI2
FGF12,DDOST
FGF13,DDX10
FNBP1L,DDX11
FRMD6,DDX18
GATA4,DDX19A
GJA5,DDX20
GJC1,DDX21
GPD1L,DDX23
HCN4,DDX24
JUP,DDX27
KCNA5,DDX28
KCND3,DDX39B
KCNE1,DDX3X
KCNE1B,DDX41
KCNE2,DDX42
KCNE3,DDX47
KCNE4,DDX49
KCNE5,DDX5
KCNH2,DDX51
KCNJ2,DDX52
