,y_pred,y_ture
0,0.639243,0.5408
1,0.59903383,0.6458
2,0.65197486,0.6811
3,0.6006651,0.6482
4,0.7351254,0.6793
5,0.41862577,0.4233
6,0.6325564,0.6902
7,0.7316774,0.8052
8,0.69748294,0.748
9,0.8140527,0.8869
10,0.86636317,0.9205
11,0.81647635,0.8182
12,0.7317974,0.7879
13,0.49213344,0.5839
14,0.8713963,0.8713
15,0.60382944,0.6787
16,0.50073206,0.5259
17,0.7181226,0.7513
18,0.5016473,0.5598
19,0.4965892,0.4935
20,0.7890134,0.7684
21,0.71035564,0.6694
22,0.8478686,0.8183
23,0.7970382,0.8785
24,0.8326552,0.837
25,0.81220716,0.8732
26,0.7916477,0.8768
27,0.5257083,0.5503
28,0.76453555,0.7781
29,0.6808728,0.6427
30,0.6143378,0.6562
31,0.8460686,0.856
32,0.73997766,0.7642
33,0.9117271,0.9397
34,0.53531307,0.5834
35,0.6225599,0.6492
36,0.662349,0.6405
37,0.545439,0.53
38,0.4394985,0.335
39,0.54627144,0.6001
40,0.5388577,0.6083
41,0.7217671,0.7565
42,0.7954779,0.8695
43,0.732641,0.862
44,0.59183764,0.6287
45,0.6987644,0.8235
46,0.66477025,0.5491
47,0.7256007,0.704
48,0.5610978,0.4528
49,0.8047092,0.8792
50,0.6900068,0.7397
51,0.773249,0.8138
52,0.592422,0.7958
53,0.71012497,0.6358
54,0.53090537,0.4387
55,0.31938696,0.4347
56,0.6559743,0.6762
57,0.80330306,0.7589
58,0.8210479,0.7501
59,0.5755627,0.6226
60,0.7628954,0.6065
61,0.5197905,0.4601
62,0.6705261,0.6498
63,0.67098117,0.7067
64,0.59298986,0.4915
65,0.81337965,0.8646
66,0.39749217,0.439
67,0.82257074,0.8362
68,0.6680735,0.6144
69,0.6856647,0.6278
70,0.481001,0.4931
71,0.7902249,0.7869
72,0.78437555,0.8531
73,0.7032158,0.7965
74,0.5387696,0.6512
75,0.7663448,0.6641
76,0.7452198,0.7198
77,0.70325434,0.7539
78,0.5625465,0.6011
79,0.8894502,0.7002
80,0.78915787,0.7511
81,0.800357,0.8331
82,0.727148,0.7791
83,0.6115203,0.5952
84,0.76917446,0.7425
85,0.2663856,0.233
86,0.639036,0.693
87,0.7551808,0.7965
88,0.4918821,0.5105
89,0.82411647,0.869
90,0.8481385,0.7853
91,0.24264963,0.2284
92,0.7450949,0.7822
93,0.62117016,0.6249
94,0.5686046,0.5186
95,0.88245064,0.8889
96,0.7811455,0.8696
97,0.85095763,0.8339
98,0.8073897,0.8674
99,0.7487875,0.8149
100,0.47206545,0.5427
101,0.20563973,0.1307
102,0.7963987,0.8284
103,0.66390294,0.6155
104,0.75048727,0.7831
105,0.7660397,0.802
106,0.81252086,0.8621
107,0.7833507,0.8827
108,0.7773718,0.9094
109,0.70169437,0.7417
110,0.7691595,0.7314
111,0.4259401,0.4626
112,0.821693,0.7893
113,0.54406905,0.6358
114,0.7543896,0.8604
115,0.656475,0.6892
116,0.7739448,0.8172
117,0.7850786,0.8754
118,0.77670777,0.8816
119,0.61234176,0.6959
120,0.6343249,0.6957
121,0.77025795,0.6431
122,0.7811933,0.8544
123,0.6096488,0.6762
124,0.72124827,0.8275
125,0.73985213,0.6003
126,0.8095797,0.8721
127,0.74884146,0.8082
128,0.8097766,0.8931
129,0.7612688,0.7819
130,0.8078427,0.8083
131,0.6897917,0.7306
132,0.78572965,0.7918
133,0.8749221,1.0
134,0.8352011,0.8734
135,0.6224138,0.7044
136,0.734851,0.689
137,0.69614935,0.6997
138,0.71078414,0.6791
139,0.67880136,0.6599
140,0.51713437,0.5742
141,0.293638,0.2316
142,0.7134838,0.7058
143,0.6261834,0.6732
144,0.71960294,0.6765
145,0.68454623,0.8445
146,0.7440071,0.8691
147,0.6490223,0.5652
148,0.64338833,0.6176
149,0.6674841,0.6027
150,0.75110394,0.7664
151,0.46124253,0.3378
152,0.57484114,0.5155
153,0.7939152,0.8583
154,0.8264568,0.8959
155,0.75705427,0.7652
156,0.4959329,0.4384
157,0.4393653,0.4584
158,0.67933136,0.6365
159,0.76312965,0.8388
160,0.66211575,0.661
161,0.81719434,0.9668
162,0.62540835,0.6181
163,0.7405948,0.7581
164,0.7148663,0.8013
165,0.81216294,0.8833
166,0.7022137,0.7668
167,0.8432106,0.8083
168,0.6571321,0.7003
169,0.581959,0.5764
170,0.45938915,0.5514
171,0.7518688,0.7419
172,0.54265547,0.5752
173,0.7297216,0.8058
174,0.8307673,0.8099
175,0.7641577,0.6702
176,0.6770626,0.744
177,0.36677206,0.4382
178,0.7396295,0.7458
179,0.827427,0.8985
180,0.7337579,0.7472
181,0.67522025,0.6281
182,0.8204002,0.7785
183,0.81200725,0.8635
184,0.4975168,0.5132
185,0.37246528,0.5677
186,0.84734285,0.8844
187,0.41701883,0.4579
188,0.47753894,0.4736
189,0.52967644,0.5194
190,0.7299473,0.8136
191,0.6952043,0.6852
192,0.7577017,0.8672
193,0.8769675,0.8133
194,0.821146,0.8365
195,0.5669004,0.6752
196,0.77700645,0.8482
197,0.46152854,0.472
198,0.8083764,0.8115
199,0.5847535,0.646
200,0.7078389,0.8967
201,0.82998985,0.8191
202,0.81991917,0.8111
203,0.54388666,0.5073
204,0.5578409,0.6509
205,0.6658112,0.6617
206,0.8630654,0.8445
207,0.8437437,0.8706
208,0.68576646,0.7193
209,0.6689323,0.6956
210,0.664198,0.6518
211,0.8076809,0.8494
212,0.7944158,0.8613
213,0.7420384,0.7711
214,0.5564595,0.5582
215,0.7977794,0.8051
216,0.74689114,0.8297
217,0.8219349,0.8409
218,0.7731851,0.8718
219,0.7834192,0.8125
220,0.5490385,0.643
221,0.84978837,0.869
222,0.67200536,0.7449
223,0.7104391,0.8124
224,0.51969755,0.5982
225,0.44404805,0.5327
226,0.7156048,0.7658
227,0.71343255,0.8215
228,0.849013,0.7124
229,0.78018945,0.853
230,0.7372115,0.6965
231,0.7490804,0.7046
232,0.7376863,0.7339
233,0.4510643,0.5682
234,0.6046325,0.5853
235,0.6216166,0.6088
236,0.5824311,0.6454
237,0.4239077,0.4314
238,0.87798053,0.9187
239,0.75821626,0.7346
240,0.8198923,0.872
241,0.7931926,0.7791
242,0.594388,0.572
243,0.84460634,0.8389
244,0.4345553,0.4481
245,0.7987155,0.8231
246,0.7830784,0.7733
247,0.8171423,0.9108
248,0.77266854,0.9317
249,0.7783297,0.9196
250,0.6061219,0.5847
251,0.85700375,0.9212
252,0.75854677,0.8276
253,0.514079,0.5793
