k,cor_mean,cor_median,Model,Type
1,0.124828844,0.123306954,DNN_Exp,gene-level
2,0.070832591,0.068265833,DNN_Exp,gene-level
3,0.052283137,0.049366487,DNN_Exp,gene-level
4,0.026201851,0.02389535,DNN_Exp,gene-level
5,0.084547361,0.083377276,DNN_Exp,gene-level
6,0.054855744,0.05226443,DNN_Exp,gene-level
7,0.056852642,0.053455718,DNN_Exp,gene-level
8,0.094273348,0.091100035,DNN_Exp,gene-level
9,0.106431737,0.100457296,DNN_Exp,gene-level
10,0.049066021,0.044084681,DNN_Exp,gene-level
1,0.266779197,0.281817345,GAT_Exp,gene-level
2,0.141585397,0.146726936,GAT_Exp,gene-level
3,0.188159294,0.197177349,GAT_Exp,gene-level
4,0.086001286,0.090494447,GAT_Exp,gene-level
5,0.279785187,0.294999171,GAT_Exp,gene-level
6,0.124431515,0.130956986,GAT_Exp,gene-level
7,0.121784295,0.122497865,GAT_Exp,gene-level
8,0.304348031,0.308238134,GAT_Exp,gene-level
9,0.319546749,0.336833908,GAT_Exp,gene-level
10,0.132410221,0.134721002,GAT_Exp,gene-level
1,0.241760688,0.251730877,GAT_Exp_Mut,gene-level
2,0.135195983,0.143711497,GAT_Exp_Mut,gene-level
3,0.154692904,0.159770478,GAT_Exp_Mut,gene-level
4,0.115310461,0.119789746,GAT_Exp_Mut,gene-level
5,0.224707208,0.23223716,GAT_Exp_Mut,gene-level
6,0.15240579,0.157347728,GAT_Exp_Mut,gene-level
7,0.124465201,0.125054228,GAT_Exp_Mut,gene-level
8,0.192064893,0.195603408,GAT_Exp_Mut,gene-level
9,0.330774334,0.349388106,GAT_Exp_Mut,gene-level
10,0.140338152,0.142564764,GAT_Exp_Mut,gene-level
1,0.281544681,0.297200649,GAT_Exp_Mut_CNV,gene-level
2,0.1154014,0.121389051,GAT_Exp_Mut_CNV,gene-level
3,0.09812105,0.098805554,GAT_Exp_Mut_CNV,gene-level
4,0.049710325,0.053510275,GAT_Exp_Mut_CNV,gene-level
5,0.225152225,0.238475445,GAT_Exp_Mut_CNV,gene-level
6,0.137434489,0.143126836,GAT_Exp_Mut_CNV,gene-level
7,0.145736537,0.148129613,GAT_Exp_Mut_CNV,gene-level
8,0.209232212,0.213447603,GAT_Exp_Mut_CNV,gene-level
9,0.23964925,0.250898352,GAT_Exp_Mut_CNV,gene-level
10,0.145799483,0.149078009,GAT_Exp_Mut_CNV,gene-level
1,0.083807337,0.085105273,DeepDEP,gene-level
2,-0.010889449,-0.025700954,DeepDEP,gene-level
3,0.003143952,0.003663559,DeepDEP,gene-level
4,0.001646654,-0.006701349,DeepDEP,gene-level
5,0.049241875,0.049698324,DeepDEP,gene-level
6,0.019380567,0.013340909,DeepDEP,gene-level
7,-0.027365819,-0.034379862,DeepDEP,gene-level
8,0.06275128,0.07288521,DeepDEP,gene-level
9,0.109252062,0.114173698,DeepDEP,gene-level
10,0.067096009,0.074039656,DeepDEP,gene-level
11,0.13733,0.11542,DeepDEP,pool-level
1,0.79376175,0.008334132,DNN_Exp,pool
2,0.807752398,0.006940832,DNN_Exp,pool
3,0.82417004,0.006463951,DNN_Exp,pool
4,0.799851074,0.007456086,DNN_Exp,pool
5,0.788865749,0.008293741,DNN_Exp,pool
6,0.828373514,0.006357509,DNN_Exp,pool
7,0.832818241,0.006529358,DNN_Exp,pool
8,0.79201746,0.008143211,DNN_Exp,pool
9,0.81554187,0.007082614,DNN_Exp,pool
10,0.830593446,0.006521465,DNN_Exp,pool
1,0.810164989,0.007802404,GAT_Exp,pool
2,0.828218846,0.006132362,GAT_Exp,pool
3,0.829224582,0.006499917,GAT_Exp,pool
4,0.808896195,0.007166103,GAT_Exp,pool
5,0.824817652,0.006944052,GAT_Exp,pool
6,0.847589055,0.00577179,GAT_Exp,pool
7,0.835445994,0.006266986,GAT_Exp,pool
8,0.825016858,0.007019509,GAT_Exp,pool
9,0.847473809,0.00611698,GAT_Exp,pool
10,0.845466144,0.00595111,GAT_Exp,pool
