"","GSM8393322","GSM8393323","GSM8393324","GSM8393325","GSM8393326","GSM8393327","GSM8393328","GSM8393329","GSM8393330","GSM8393331"
"5S_rRNA",0,2.60542,0,0,0,0,0,0,0,0
"A1BG",26.195035,22.750238,22.994465,23.746062,28.966424,28.493433,23.36033,20.81681,27.430034,26.9771
"A1CF",0.0278215,0.1845922,0.0689806,0.16812210482047,0.1277227,0.00655904,0.0233336,0.03038543,0.0602198,0.1245573
"A2M",0,0,0,0,0,0,0.0104301,0,0,0.00959627
"A2ML1",0,0,0,0.0097748,0,0,0,0,0,0
"A2MP1",0,0,0.0445794,0,0.0139566,0,0,0.0138478,0.0141773,0.0113455
"A3GALT2",0,0,0,0,0,0,0,0,0,0
"A4GALT",14.9851472479,17.4672750054208,15.95095,17.2978400584371,16.72869017,10.263202,11.96017,12.54898215171,11.11413,10.567184
"A4GNT",0.737387,0.380473,0.59502,0.308233,0.525753,0.523247,0.247197,0.487022,0.714588,0.627557
"AAAS",76.60481,75.1874981053,74.537056,74.12391,71.6726800323163,64.43048475,66.211916,61.400044,60.28105999,65.40341
"AACS",19.1971,17.82,18.7327,18.7854,18.4952,23.5657,23.1237,24.0007,22.1308,22.4391
"AACSP1",0.2201348,0.204514,0.315107,0.389576,0.2240329,0.243605,0.0463025,0.228633,0.189525,0.3255233
"AADAC",7.81161,8.22473,10.68912,8.21981,7.73744,11.24266,10.23072,9.11726,8.8897,10.6692
"AADACL2",0,0,0,0,0,0,0,0,0,0
"AADACL3",0,0,0,0,0,0,0,0,0,0
"AADACL4",0,0,0,0,0,0,0,0,0,0
"AADACP1",1.52542,0.912006,2.35333,2.02299,0.538381,1.0615,2.00472,2.54943,1.66218,2.37906
"AADAT",5.61413,5.50759,5.153172,5.674583,4.35037,5.20977,5.440049,5.51216,6.693681,6.6072
"AAGAB",64.115,65.2621,66.9945,64.6576,60.7132,65.6447,69.4789,62.3594,61.1946,67.9388
"AAK1",10.137959,11.059126,10.411922,11.702984,9.96656279304,10.400254,11.683315,10.0674745,9.965902,11.503106
"AAMDC",24.430885,24.096738,28.671831,26.85712,25.947858,27.698263,24.097466,27.986953,24.50369,24.917243
"AAMP",99.47495,94.09121,99.07912,101.01242,102.37173,100.64374,97.15434,94.66236,94.11325,92.61538
"AANAT",0.1884434,0.3341483,0.33109,0.22914,0.210008,0.4101628,0.3487889,0.3095225,0.42554514009,0.2127276
"AAR2",25.42376,26.0434,26.070317,25.288502,24.95676,26.08156,26.08544,26.740213,25.86732,27.486242
"AARD",0.0642094,0.140203,0,0.0691392,0,0.136661,0.0509656,0.0553049,0.0362483,0.0784928
"AARS1",148.067,150.50066,153.7705,151.66754,152.29188,136.6284,139.70027,135.63512,128.79618,132.52629
"AARS1P1",0,0,0,0,0,0,0,0,0,0
"AARS2",5.29744,5.44573,4.854,5.03574,5.83605,5.16442,5.62458,5.57613,5.10406,5.13721
"AARSD1",34.0406,31.4424,32.8175,32.1567,36.2596,32.7872,34.4217,35.1874,32.1648,31.0235
"AARSD1P1",0.719843,0.244643,0.545375,0.496611,0.675516,0.4495,0.594376,0.502989,0.691047,0.825594
"AASDH",4.1152514,3.83003381,3.82455925,3.323577,3.019449,3.185255,3.190251,3.386728,3.30993300189455,3.661725
"AASDHPPT",24.521,24.6802,27.1594,25.9894,24.1601,23.0318,24.8347,23.6255,26.2232,23.9335
"AASS",0.0747674,0.0739592,0.0794952,0.0769998,0.144807,0.0775436,0.1097342,0.040497,0.123465,0.1386226
"AATF",97.712131,100.161898,106.032373,103.7,104.919458,112.933419,117.734442,117.034173,111.823219,109.896022
"AATK",0.191352,0.3785968,0.327965,0.54502,0.254317,0.473893,0.315404,0.3338378,0.428936,0.5201731
"ABAT",0.496763,0.38287,0.5909362,0.6220291255,0.395145,0.651514,0.72734,0.944666,0.306349,0.466926
"ABCA1",4.057559,3.71071,4.374059,4.111429,3.7049877,4.7024148,5.60814,4.957157,4.2115669,5.966541
"ABCA10",0,0,0,0,0,0,0,0,0,0
"ABCA11P",0.260496,0.11299,0.0717296,0.4118239,0.43379,0.389992,0.3573691,0.886497,0,0
"ABCA12",0.973894,0.907919,1.0626823,1.086024,2.021699,1.453011,1.714966,1.573617,1.691336,1.616119
"ABCA13",0,0,0,0,0,0,0,0,0,0
"ABCA15P",0,0,0.387764,0,0,0.158936,0,0,0,0.129012
