"","genes","diff_","t_","p_"
"1","AAMP",-0.074026872,1.88564693929002,0.0509755819692272
"2","AARS1",-0.053098172,2.1694598768996,0.0312127512322954
"3","AARS2",-0.117768198,3.70811233280015,0.00496978411738437
"4","AASDHPPT",-0.03024682,1.02985264147227,0.171856884982303
"5","AATF",-0.019310542,0.923473532620232,0.192541199463389
"6","ABCB7",-0.0412280340000001,1.78006780824316,0.0566943483520105
"7","ABCE1",-0.074456624,1.56328209032732,0.0841957611744411
"8","ABCF1",-0.034974936,1.00709843810204,0.175740506323285
"9","ABT1",-0.073712148,2.73840355445298,0.0201607846394437
"10","ACACA",-0.0643878920000001,1.36182346708739,0.105553639090762
"11","ACIN1",-0.055054652,1.09249598024634,0.155717537846723
"12","ACLY",-0.101433892,6.26108287172801,0.000122205994030319
"13","ACO2",-0.0633935780000001,2.02518678336558,0.0388766204621486
"14","ACSL3",-0.137477132,3.13941037430493,0.0117105509225976
"15","ACSL4",-0.064435626,1.83789027036256,0.0517233532769232
"16","ACTB",-0.125024232,3.98385755605936,0.00331481663352789
"17","ACTG1",-0.0920723379999999,1.01652575713334,0.175125040429777
"18","ACTL6A",-0.092176062,3.27175366729911,0.00907507574325663
"19","ACTR10",-0.08630069,2.62728300022879,0.0153019994120912
"20","ACTR1A",-0.115540808,3.40505459791384,0.00752209884190577
"21","ACTR2",-0.100439118,4.19544115336079,0.00415850643591738
"22","ACTR3",-0.108026636,6.84942123057588,0.000205354931513834
"23","ACTR5",-0.110963598,2.1594250264441,0.0323778614705013
"24","ACTR6",-0.081847582,4.40646271125222,0.00172669759714407
"25","ACTR8",-0.122411542,6.10289641318044,0.000167329661751017
"26","ADAR",-0.163204522,3.97203149589635,0.00219903842929131
"27","ADAT2",-0.062844532,2.96863384300678,0.0103895477166828
"28","ADAT3",-0.064317196,1.87378873364011,0.0499863463431493
"29","ADNP",-0.147697986,2.91019929686503,0.0159074528508077
"30","ADRM1",-0.115906038,4.67892872847762,0.00333623356043368
"31","ADSL",-0.0882531480000001,2.52682999148291,0.0180447464544071
"32","ADSS2",-0.042399474,1.10579734543305,0.15392594698338
"33","AFG3L2",-0.078059948,1.72918291387734,0.0670820230953204
"34","AHCTF1",0.00494665400000005,-0.220321030271265,0.584297324627763
"35","AHCY",-0.0374981,1.94249859516348,0.0448163887772619
"36","AHCYL1",-0.080316538,2.66563763312969,0.0147108030110778
"37","AHR",-0.071468324,1.39725000991348,0.101681669415863
"38","AIFM1",-0.0706110959999999,3.83043362384341,0.00303107712454397
"39","AK2",-0.129555342,2.26029490519381,0.0406705668357151
"40","AK6",-0.056322996,1.57699317008458,0.0772000036923169
"41","AKIRIN2",-0.0359441520000001,1.62831279366439,0.0881644829981094
"42","ALDH18A1",-0.107542978,3.64360398344976,0.00343485481947705
