"","SUM149_DMSO_day2_rep1","SUM149_DMSO_day2_rep2","SUM149_DMSO_day2_rep3","SUM149_C70_day2_rep2","SUM149_C70_day2_rep3","SUM149_DMSO_day7_rep1","SUM149_DMSO_day7_rep2","SUM149_DMSO_day7_rep3","SUM149_C70_day7_rep1","SUM149_C70_day7_rep2","SUM149_C70_day7_rep3"
"RBM12",2683,4293,4137,4438,3347,2840,4640,2904,3615,3739,2781
"LMX1B",73,69,81,74,118,65,87,64,108,134,76
"LETM2",275,291,333,372,290,285,382,295,553,556,391
"SPOCD1",31,48,32,96,48,35,49,50,90,160,119
"NOM1",2773,3264,3263,3246,2489,2700,3498,2308,3282,3610,2470
"IGF2BP2",4409,4784,6251,5383,5464,5353,6639,4445,6210,7148,4658
"CDKN2B",0,0,0,0,0,0,0,0,0,0,0
"WRAP53",1011,1127,1157,997,882,922,1210,820,1018,1077,653
"SRR",565,619,668,556,446,639,670,600,833,676,534
"ARX",6,9,4,2,8,3,8,6,1,3,1
"AC007952.1",0,0,0,0,0,0,0,0,0,0,0
"TRIP4",629,686,650,845,521,595,798,508,762,928,558
"CTD-2583A14.10",0,0,0,0,0,0,0,0,0,0,0
"IDUA",115,114,106,110,94,111,111,120,141,136,94
"ALDH1L2",375,415,515,572,466,631,514,504,926,810,612
"XXcos-LUCA11.5",1,3,2,2,0,2,1,1,2,3,2
"FHL1",184,169,297,112,176,282,239,161,116,72,37
"ZMYM1",1229,1241,1191,1090,916,1410,1225,907,1439,1161,801
"RTL1",7,5,4,20,2,2,4,4,6,19,5
"NFKBIL1",594,689,700,797,716,524,682,533,705,768,511
"AL626787.1",0,1,0,0,0,0,1,3,1,1,0
"ABHD14B",493,518,578,618,570,419,606,504,608,650,469
"ACD",2185,2408,2350,2556,2557,1695,2450,1752,2321,2811,1745
"NPC1",5437,6407,5795,6581,4985,6333,6642,5545,8436,7990,5934
"PMAIP1",1008,1119,722,1413,908,1068,980,742,2285,1747,1349
"GAGE2A",0,0,0,0,0,0,0,0,0,0,0
"ANKRD29",191,220,297,221,256,263,286,269,251,265,196
"TRIM38",1599,1545,1965,1438,1197,1872,1966,1573,1874,2114,1530
"GABARAPL3",7,8,2,2,4,5,4,2,1,3,0
"NAA16",851,922,742,799,533,821,735,590,913,684,692
"COX16",1282,1407,982,1516,831,1272,968,1011,1507,1089,952
"KIAA0195",1285,1278,1283,1056,1079,1264,1136,1266,1086,958,824
"C4orf22",2,0,0,0,0,1,1,1,0,0,0
"CORIN",2,1,2,1,0,3,5,1,1,0,0
"SPDL1",3601,3618,3573,4111,2691,3072,3665,2615,3967,4105,2879
"VRTN",0,0,0,2,0,1,0,0,1,0,0
"CCDC177",0,0,0,0,0,0,0,0,0,0,0
"IFNGR1",2113,2267,1748,2077,1047,2252,1571,1839,2234,1398,1491
"AC073610.5",0,0,0,0,0,0,0,0,0,0,0
"PCSK5",90,142,112,145,84,112,81,110,136,137,110
"FST",198,302,140,1033,393,240,240,323,1740,1259,1800
"RBM48",445,501,455,468,278,426,440,312,536,528,390
"ZNF804A",1,0,0,2,1,3,1,1,1,2,3
"UBL7",1418,1539,1663,1293,1348,1211,1785,1211,1350,1611,848
"AICDA",0,0,0,0,0,0,0,0,0,0,0
"RPL7A",46748,51175,44011,53278,33079,41609,46774,38021,52843,50477,38529
"COX6B1",3092,3204,2826,3074,2470,2821,3136,2446,3459,3320,2271
"PRR23A",0,0,0,0,0,0,0,0,0,0,0
"MAGED2",769,886,954,790,785,996,980,1000,1197,1137,799
"SGPP2",917,823,1076,667,633,1023,1022,750,692,709,387
"SPIN2A",4,4,3,1,1,4,1,2,1,0,2
"MAP10",3,3,9,4,6,5,3,9,6,15,10
"PIK3R3",3990,3670,5095,3584,3939,4362,4341,3570,4244,3747,2489
"RP11-565P22.6",0,0,0,0,0,0,0,0,0,0,0
"CIB2",6,7,9,5,5,5,8,1,2,4,5
"ASF1A",1441,1402,1293,1297,789,1315,1428,1098,1519,1255,971
"TMEM176A",0,0,0,0,0,0,0,0,0,0,0
"MASP2",5,1,0,2,2,1,3,1,3,2,2
"SHOX",0,0,0,0,0,0,0,0,0,0,0
"OR4L1",0,0,0,0,0,0,0,0,0,0,0
"ACTR1B",1080,1165,1167,1110,889,986,1117,972,1283,1206,971
"ACYP2",266,293,218,230,195,271,231,232,277,250,209
"FAM21C",836,922,930,847,651,914,930,785,976,1076,705
"SPEF2",0,0,0,3,0,1,1,1,0,0,0
"LYZL6",0,0,0,0,0,0,0,0,0,0,0
"L3MBTL1",98,73,91,61,81,111,105,82,109,100,81
"STAG1",4936,5956,5673,6179,3852,5152,6123,3878,6643,6920,4400
"C19orf12",638,732,725,819,677,615,764,598,902,927,672
"ABHD6",118,96,115,84,107,115,149,86,102,106,70
"EPT1",5073,5222,4637,5315,3657,5105,4741,3957,6010,4528,3795
"CASP3",2852,3206,2923,3082,1777,2733,3298,2194,3460,3267,2216
"FH",6151,6719,6510,6779,4640,5940,7332,5299,8114,7409,5032
"C22orf26",11,16,11,24,12,11,7,16,8,19,21
"FAM210B",1032,1020,1439,1010,1179,1235,1421,1107,1306,1486,865
"NES",5,5,5,5,1,8,5,6,5,9,4
"SMARCB1",3032,3690,3151,3923,3303,2483,3372,2462,3468,3962,2557
"PSMB1",6710,7143,5904,7173,5015,6349,6962,5465,8481,7698,5506
"RPL23A",21365,22610,17804,22825,11346,20128,19624,16241,21455,19769,15467
"LY6G5B",189,182,159,135,82,210,139,164,245,135,207
"TMEM125",436,394,474,466,499,506,433,453,585,616,397
"KLRF1",0,0,0,0,0,0,0,0,0,0,0
"PELI3",624,632,795,739,905,596,784,654,753,905,569
"MYBPHL",0,0,0,0,0,0,0,0,0,0,0
"LDHAL6B",0,0,0,0,0,0,0,0,0,0,0
"KRTAP8-1",0,0,0,0,0,0,0,0,0,0,0
"RAB39B",5,7,5,11,5,4,4,5,11,11,2
