"","genes","diff_","t_","p_"
"1","AAMP",0.00781757500000002,-0.281028204711964,0.790442949662779
"2","AARS1",-0.0609654176666666,2.2967540752636,0.0507610324571568
"3","AARS2",-0.064396571,2.50115172285166,0.045697118115274
"4","AASDHPPT",-0.0711322616666666,2.46559706969714,0.0644105239628903
"5","AATF",-0.0150249119999999,0.683669463125794,0.523456308433792
"6","ABCB7",-0.0172408823333333,1.3289304826715,0.226065961089754
"7","ABCE1",-0.0666265743333334,2.17553185791552,0.0576713755672213
"8","ABCF1",-0.0356706850000001,0.976193457404534,0.381152356414658
"9","ABT1",-0.0164320953333333,0.293608653693903,0.782461156741777
"10","ACACA",0.0010043936666666,-0.0234536536021699,0.981932579056666
"11","ACIN1",-0.080761541,2.62070749924923,0.0398358821500506
"12","ACLY",-0.0297143516666667,1.18978502235536,0.27773787022342
"13","ACO2",-0.0149113116666666,0.73587881395997,0.480981797816923
"14","ACSL3",-0.0515532403333333,1.61916608609988,0.161916363659465
"15","ACSL4",-0.0334227149999999,1.4478540680007,0.18204826581288
"16","ACTB",0.0180847366666667,-0.409252624240405,0.69514712610439
"17","ACTG1",-0.0122389113333333,0.29896282226642,0.774446682336143
"18","ACTL6A",-0.0280409450000001,1.36181394094271,0.223491478355695
"19","ACTR10",-0.000967504000000008,0.0360057593505122,0.972110300358481
"20","ACTR1A",-0.0430039083333333,1.20574501981125,0.266161514136156
"21","ACTR2",-0.0558143703333334,1.65096949721626,0.16581728060976
"22","ACTR3",-0.02492392,0.970215616496132,0.364547546926422
"23","ACTR5",-0.0635795490000001,2.50089229746604,0.0366889591367656
"24","ACTR6",-0.0168509433333334,0.687015181366224,0.524011052874676
"25","ACTR8",-0.0373636743333333,1.2157503570138,0.258745994717166
"26","ADAR",-0.0433171413333333,1.47689582598062,0.194862808121289
"27","ADAT2",-0.0764703753333335,2.84899549005447,0.0238389613435363
"28","ADAT3",-0.020307869,0.762527216050552,0.46853089608569
"29","ADNP",0.00323145833333327,-0.127159358005221,0.901868995922722
"30","ADRM1",-0.0471805993333333,1.45133761037485,0.199286282872921
"31","ADSL",-0.0285160463333333,0.652486907030356,0.534050667930259
"32","ADSS2",0.0161639903333334,-0.527943192745591,0.61729798452057
"33","AFG3L2",-0.0425934370000001,1.63072266398529,0.13769616177961
"34","AHCTF1",0.02444495,-1.06663574992495,0.320072850122578
"35","AHCY",-0.0172563343333333,0.564101492942935,0.593551591053359
"36","AHCYL1",-0.05888774,2.11328055069403,0.0878512016200556
"37","AHR",-0.00871887766666668,0.396015273621458,0.703927646809198
"38","AIFM1",-0.0596471266666667,2.03807715547912,0.0908835184727318
"39","AK2",-0.0301588403333334,0.92050991083188,0.38806214074721
"40","AK6",-0.0780378853333334,2.66784453607971,0.0287271855821363
"41","AKIRIN2",0.0234064066666667,-1.22491145424254,0.252176231993571
"42","ALDH18A1",-0.0482968663333334,2.65987202217997,0.0266677957116725
"43","ALDOA",0.0307309523333333,-0.738447293079695,0.482991501413209
"44","ALG1",-0.0387494733333332,1.71313202757536,0.128267426307318
"45","ALG11",-0.0495798416666666,1.74016888104706,0.122702710211398
"46","ALG12",-0.0759191459999999,3.39464314293148,0.0120653023449164
"47","ALG13",-0.0420791416666667,2.5928423420107,0.0320008003051231
"48","ALG14",-0.0557033946666666,3.80366233545449,0.00764355612957628
"49","ALG2",-0.0446678786666667,5.04682497211906,0.00102713904983115
"50","ALG8",-0.0682510166666667,2.24924991357251,0.0556920951720999
"51","ALYREF",-0.0217352773333334,0.669475330459876,0.53163109667125
"52","AMBRA1",-0.063509919,2.27295726768698,0.0518022167549991
"53","AMD1",-0.0148873900000001,0.483573325788151,0.641259776836768
"54","ANAPC1",0.0234249566666667,-1.05379058115158,0.31944842568575
"55","ANAPC10",-0.021368468,0.526587416251993,0.621170035920302
"56","ANAPC11",-0.0284130136666666,1.14756250948289,0.286089166408024
"57","ANAPC13",-0.0180042233333333,0.285932256272968,0.786272091707295
"58","ANAPC15",-0.0182218356666666,0.374359551658395,0.721814833448403
