"","V1","preds","genes","group1","group2"
"1",605,0.821623,"ZBTB7A","DMSO_D2","DMSO"
"2",2955,0.7760956,"ZBTB7A","DMSO_D2","DMSO"
"3",5305,0.87696123,"ZBTB7A","DMSO_D2","DMSO"
"4",7655,0.758081,"ZBTB7A","C70_D2","C70"
"5",10005,0.78643095,"ZBTB7A","C70_D2","C70"
"6",12355,0.8027701,"ZBTB7A","DMSO_D7","DMSO"
"7",14705,0.87448734,"ZBTB7A","DMSO_D7","DMSO"
"8",17055,0.86402166,"ZBTB7A","DMSO_D7","DMSO"
"9",19405,0.7552441,"ZBTB7A","C70_D7","C70"
"10",21755,0.72466016,"ZBTB7A","C70_D7","C70"
"11",24105,0.8176419,"ZBTB7A","C70_D7","C70"
