"","V1","preds","genes","ModelID","StrippedCellLineName","LN_IC50"
"1",1167,0.7723435,"MDM2","ACH-000873","KYSE270",4.564475
"2",3517,0.8233554,"MDM2","ACH-000860","NCIH358",6.234662
"3",8217,0.8035656,"MDM2","ACH-000318","TE10",4.213424
"4",12917,0.84318846,"MDM2","ACH-000544","OE21",5.673217
"5",17617,0.81328815,"MDM2","ACH-000341","SKNFI",6.334853
"6",19967,0.6586354,"MDM2","ACH-000424","TC71",4.376727
"7",22317,0.8057963,"MDM2","ACH-000427","NCIN87",5.792016
"8",24667,0.7945361,"MDM2","ACH-000571","T98G",4.615612
"9",27017,0.93855757,"MDM2","ACH-000694","TE9",5.485627
"10",29367,0.8258154,"MDM2","ACH-000308","EFO21",9.031498
"11",31717,0.81784374,"MDM2","ACH-000421","SW837",6.170247
"12",34067,0.7123474,"MDM2","ACH-000882","IGR1",4.943305
"13",36417,0.7127154,"MDM2","ACH-000864","COLO684",4.320149
"14",38767,0.8202674,"MDM2","ACH-000577","JHH2",4.676502
"15",41117,0.8430731,"MDM2","ACH-000937","PF382",3.661393
"16",43467,0.4954329,"MDM2","ACH-000433","CAKI1",2.949734
"17",45817,0.8539162,"MDM2","ACH-000417","PANC0813",5.876082
"18",48167,0.5439069,"MDM2","ACH-000595","LN229",6.025942
"19",52867,0.79117525,"MDM2","ACH-000722","SNUC1",6.52302
"20",55217,0.7039367,"MDM2","ACH-000947","OVK18",4.102391
"21",57567,0.4867536,"MDM2","ACH-000219","A375",1.824666
"22",59917,0.73954594,"MDM2","ACH-000277","HCC1419",4.867274
"23",64617,0.7995939,"MDM2","ACH-000788","A2058",5.109439
"24",66967,0.52889615,"MDM2","ACH-000096","G401",1.591357
"25",69317,0.6576834,"MDM2","ACH-000966","IGROV1",2.726699
"26",71667,0.7175357,"MDM2","ACH-000522","UMUC3",6.287248
"27",76367,0.6623286,"MDM2","ACH-000322","HT144",2.251035
"28",78717,0.81356055,"MDM2","ACH-000023","PATU8988T",5.168285
"29",81067,0.8094465,"MDM2","ACH-000290","NCIH209",4.88192
"30",83417,0.86666536,"MDM2","ACH-000997","HCT15",4.998554
"31",85767,0.836044,"MDM2","ACH-000867","CHAGOK1",4.704478
"32",90467,0.80948305,"MDM2","ACH-000624","HCC1806",4.887807
"33",95167,0.6793379,"MDM2","ACH-000504","SNB75",4.757574
"34",97517,0.79136807,"MDM2","ACH-000965","RL952",4.931927
"35",99867,0.75427365,"MDM2","ACH-000235","PANC0403",9.013416
"36",102217,0.79917043,"MDM2","ACH-000521","NCIH2030",5.050476
"37",104567,0.90801734,"MDM2","ACH-000431","NCIH1694",4.706642
"38",106917,0.8899519,"MDM2","ACH-000221","SNU398",4.957682
"39",113967,0.8145848,"MDM2","ACH-000985","LS411N",6.995259
"40",116317,0.772413,"MDM2","ACH-000231","KALS1",5.626142
"41",118667,0.8466586,"MDM2","ACH-000087","SKES1",4.309899
"42",121017,0.7876874,"MDM2","ACH-000294","NB4",3.987468
"43",123367,0.78306144,"MDM2","ACH-000053","KARPAS299",3.870643
"44",125717,0.716401,"MDM2","ACH-000995","JURKAT",3.59803
"45",128067,0.8140232,"MDM2","ACH-000944","NAMALWA",4.421218
"46",130417,0.50713223,"MDM2","ACH-001075","NCIH292",2.016028
"47",132767,0.74874645,"MDM2","ACH-000878","HCC15",5.488922
"48",135117,0.5673624,"MDM2","ACH-000948","2313287",2.295281
"49",137467,0.8510898,"MDM2","ACH-000917","TE4",4.317272
"50",139817,0.79652894,"MDM2","ACH-000515","HCC33",5.325437
"51",142167,0.43238455,"MDM2","ACH-000684","KMRC1",4.051221
"52",153917,0.79359174,"MDM2","ACH-000716","TT2609C02",7.067121
"53",156267,0.7580589,"MDM2","ACH-000859","HCC1954",5.166697
"54",158617,0.80892825,"MDM2","ACH-000792","BFTC909",4.362031
"55",160967,0.8064696,"MDM2","ACH-000822","SKMEL24",3.628529
"56",163317,0.88099664,"MDM2","ACH-000821","EJM",4.523257
"57",165667,0.54112875,"MDM2","ACH-000863","DBTRG05MG",5.344679
"58",168017,0.68723226,"MDM2","ACH-000288","BT549",6.168204
"59",172717,0.78258276,"MDM2","ACH-000354","CAPAN1",5.395295
"60",175067,0.86771286,"MDM2","ACH-000383","OE33",6.059933
"61",177417,0.750071,"MDM2","ACH-000348","RPMI7951",4.027996
"62",179767,0.8277046,"MDM2","ACH-000562","HCC78",4.828893
"63",182117,0.71110284,"MDM2","ACH-000260","SKNAS",5.722287
"64",184467,0.8171911,"MDM2","ACH-000434","NCIH1915",6.076324
"65",186817,0.8108754,"MDM2","ACH-000711","JIMT1",6.108466
"66",189167,0.829501,"MDM2","ACH-000488","TE11",4.639246
"67",191517,0.805532,"MDM2","ACH-000934","MDAMB361",5.579274
"68",196217,0.63669825,"MDM2","ACH-001306","8305C",5.79319
"69",198567,0.8918302,"MDM2","ACH-000408","TE5",5.767616
"70",200917,0.54292536,"MDM2","ACH-000569","ISTMES1",3.109011
"71",203267,0.6021931,"MDM2","ACH-000657","A2780",1.224685
"72",205617,0.87562203,"MDM2","ACH-000587","NCIH1975",5.405092
"73",207967,0.76099217,"MDM2","ACH-000378","NCIH647",5.019489
"74",210317,0.80392843,"MDM2","ACH-000768","MDAMB231",5.673557
"75",217367,0.73692346,"MDM2","ACH-000840","HCC366",5.862644
"76",219717,0.8107881,"MDM2","ACH-000638","NCIH441",6.976502
"77",226767,0.75936157,"MDM2","ACH-000228","BICR31",3.271228
"78",229117,0.773712,"MDM2","ACH-000464","CAS1",5.5914
"79",231467,0.7841589,"MDM2","ACH-000114","SU8686",6.732301
"80",236167,0.903838,"MDM2","ACH-000823","KYSE140",5.834592
"81",238517,0.63195086,"MDM2","ACH-000757","A427",2.270528
"82",240867,0.811974,"MDM2","ACH-000484","VMRCRCW",5.986974
"83",243217,0.7645938,"MDM2","ACH-000271","SUDHL10",3.198145
"84",245567,0.7934861,"MDM2","ACH-000655","SF268",6.492789
"85",247917,0.7175672,"MDM2","ACH-000139","PANC0327",4.999514
"86",252617,0.6632644,"MDM2","ACH-000111","HCC1187",4.548689
"87",254967,0.81491095,"MDM2","ACH-000291","OV90",7.274904
"88",257317,0.771207,"MDM2","ACH-000118","HUPT3",6.450868
"89",259667,0.8120435,"MDM2","ACH-000233","DEL",3.735073
"90",262017,0.7613038,"MDM2","ACH-000151","JM1",1.98862
"91",269067,0.73089856,"MDM2","ACH-000501","LS123",6.713757
"92",273767,0.70525706,"MDM2","ACH-000496","NCIH1792",5.038086
"93",276117,0.8165824,"MDM2","ACH-000811","SKOV3",7.139981
"94",278467,0.8225491,"MDM2","ACH-000849","MDAMB468",4.823182
"95",280817,0.7220242,"MDM2","ACH-000212","CAL120",7.333259
"96",283167,0.79175687,"MDM2","ACH-000894","NCIH1869",6.160724
"97",287867,0.57801205,"MDM2","ACH-000838","AMO1",0.631763
"98",292567,0.81289476,"MDM2","ACH-000052","A673",4.990523
"99",297267,0.7493631,"MDM2","ACH-000697","A3KAW",0.40456
"100",301967,0.48710787,"MDM2","ACH-000977","LNCAPCLONEFGC",0.770623
"101",309017,0.8706431,"MDM2","ACH-000559","NCIH1836",6.999611
