"","V1","preds","genes","ModelID","StrippedCellLineName","LN_IC50"
"1",5867,0.7374515,"MDM2","ACH-000439","ME1",4.775861
"2",10567,0.74499375,"MDM2","ACH-000789","NCIH810",5.386641
"3",15267,0.72002447,"MDM2","ACH-000399","NCIH2196",5.877661
"4",50517,0.8569883,"MDM2","ACH-000061","HH",5.909024
"5",62267,0.791125,"MDM2","ACH-000225","ECC12",5.160868
"6",74017,0.74926275,"MDM2","ACH-000733","NCIH1838",6.589997
"7",88117,0.65486574,"MDM2","ACH-000135","HS940T",5.369369
"8",92817,0.56367344,"MDM2","ACH-000818","BT483",6.792112
"9",109267,0.814364,"MDM2","ACH-000197","TALL1",3.389694
"10",111617,0.81635934,"MDM2","ACH-000930","HCC1569",4.529208
"11",144517,0.61921245,"MDM2","ACH-000129","NCIH1341",5.552733
"12",146867,0.77621484,"MDM2","ACH-000530","DMS114",4.605144
"13",149217,0.8264567,"MDM2","ACH-000744","NCIH1623",5.86891
"14",151567,0.616289,"MDM2","ACH-000538","HUTU80",0.269604
"15",170367,0.7849493,"MDM2","ACH-000177","NCIH660",4.923241
"16",193867,0.79039526,"MDM2","ACH-000691","HCC2157",4.528481
"17",212667,0.6018559,"MDM2","ACH-000384","SW780",3.57532
"18",215017,0.6798222,"MDM2","ACH-001106","KOPN8",1.924485
"19",222067,0.5162808,"MDM2","ACH-000046","ACHN",1.698458
"20",224417,0.5029054,"MDM2","ACH-000640","SKMEL31",2.409826
"21",233817,0.86700064,"MDM2","ACH-000117","EFM192A",5.611971
"22",250267,0.7591096,"MDM2","ACH-000508","CORL88",6.125816
"23",264367,0.8347102,"MDM2","ACH-000380","KMS12BM",3.554201
"24",266717,0.76787686,"MDM2","ACH-000443","OVKATE",8.522185
"25",271417,0.5402652,"MDM2","ACH-000674","NUGC4",5.288565
"26",285517,0.75365597,"MDM2","ACH-000918","MOLT16",0.119305
"27",290217,0.7344481,"MDM2","ACH-000301","LAMA84",3.261953
"28",294917,0.81644326,"MDM2","ACH-000186","NCIH2444",6.721155
"29",299617,0.76971674,"MDM2","ACH-000298","NCIH2029",5.764356
"30",304317,0.83237314,"MDM2","ACH-000729","NCIH1963",4.620889
"31",306667,0.64817715,"MDM2","ACH-000267","HDLM2",4.508062
"32",313717,0.7908391,"MDM2","ACH-000193","KARPAS620",4.388081
"33",320767,0.78871334,"MDM2","ACH-000610","NCIH2227",6.3135
"34",339567,0.5581186,"MDM2","ACH-000349","HCC1500",2.454581
"35",367767,0.6461725,"MDM2","ACH-000423","SKMEL3",4.821361
"36",370117,0.76678044,"MDM2","ACH-000282","NCIH1755",5.403792
"37",391267,0.8321181,"MDM2","ACH-000703","DMS79",5.270711
"38",395967,0.56517243,"MDM2","ACH-000786","DAUDI",2.264
"39",398317,0.5118189,"MDM2","ACH-000892","NCIH1563",3.941748
"40",424167,0.77723473,"MDM2","ACH-000104","LOUCY",2.9279
"41",426517,0.7281501,"MDM2","ACH-000121","NCIH2405",8.050381
"42",445317,0.4915264,"MDM2","ACH-000008","A101D",2.31233
"43",450017,0.74900514,"MDM2","ACH-000171","VMRCRCZ",7.994895
"44",454717,0.8157299,"MDM2","ACH-000603","BEN",5.476161
"45",457067,0.51559585,"MDM2","ACH-000201","A204",2.904021
"46",461767,0.7212681,"MDM2","ACH-000940","AN3CA",4.166901
"47",482917,0.83049554,"MDM2","ACH-000482","RERFLCKJ",4.863264
"48",511117,0.73905694,"MDM2","ACH-000743","CORL95",5.530185
"49",544017,0.44764644,"MDM2","ACH-000730","SKMEL5",5.266622
"50",546367,0.80151325,"MDM2","ACH-000611","SUDHL6",2.729147
"51",560467,0.690606,"MDM2","ACH-000236","SW1417",9.372174
"52",586317,0.714505,"MDM2","ACH-000670","SBC5",4.481555
"53",593367,0.85940236,"MDM2","ACH-000347","QGP1",5.6029
"54",602767,0.86576504,"MDM2","ACH-000951","NCIH2342",6.784446
"55",612167,0.5407735,"MDM2","ACH-000065","OCIAML5",0.384555
"56",619217,0.89017844,"MDM2","ACH-000353","TE15",5.189398
"57",623917,0.7688937,"MDM2","ACH-000989","SNU175",1.508715
"58",630967,0.81016403,"MDM2","ACH-000751","OCIM1",4.186952
"59",638017,0.31845516,"MDM2","ACH-000750","LOXIMVI",1.774762
"60",645067,0.7879872,"MDM2","ACH-000394","NCIH2081",5.272982
"61",673267,0.82455957,"MDM2","ACH-000679","OE19",5.269435
"62",677967,0.7558508,"MDM2","ACH-000379","NCIH1781",5.331713
"63",680317,0.7354852,"MDM2","ACH-000020","MHHCALL2",2.184496
"64",682667,0.7413358,"MDM2","ACH-001086","HELA",4.049319
"65",689717,0.7511781,"MDM2","ACH-000162","GA10",4.28439
"66",699117,0.5860157,"MDM2","ACH-000432","BV173",0.182611
