ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment,ids
BLALOCK_ALZHEIMERS_DISEASE_UP,BLALOCK_ALZHEIMERS_DISEASE_UP,187,0.214446944,2.232480261,0.001042753,0.021051198,0.012570233,661,"tags=65%, list=51%, signal=37%",TIPARP/TGIF1/PARD3/TP53/TFAP2A/UGCG/SLC35A2/FDFT1/GSK3B/SOX9/ASCL1/SHC1/TCF3/WWTR1/SUPT20H/PAK2/CTNNA1/FGFR1/MAPK1/LMNB1/SNAI2/RRAGC/CARM1/SMARCD1/SPTLC2/MYCN/TCF7L2/CSK/MTF1/MED13/DPH1/SLC2A1/COQ7/CCND3/SREBF1/BCL6/SOX2/EGFR/KLF5/SLC33A1/ITGB5/RCC1L/HMBS/NDE1/JUN/STK11/CREBBP/PDSS2/KMT2A/G6PD/JMJD6/FBXO11/WRN/TCOF1/SINHCAF/PXN/BRD2/LDLR/PDSS1/POLR2M/ARIH2/HTRA2/RBM8A/PI4KB/MED24/RASA4/HDAC1/CDC25B/LARP7/SLC7A5/KDM2A/DLG5/ITPK1/LMNA/TNPO1/ZNF236/SLC25A1/MRPL57/MGAT1/NPEPPS/RBM15/MT2A/CHD1/CCDC22/EDF1/PCM1/ING3/SLC4A7/CRKL/FDPS/RANBP3/KDSR/BRPF1/BRAP/FZR1/BMPR1A/BIRC2/POLRMT/FLII/IGF1R/EP300/PPP6R3/CFLAR/ARID1A/CXXC1/DICER1/DAZAP1/CSDE1/SETD2/PBRM1/PSMF1/STAG1/PPM1D/USP10/MRGBP/LUC7L2/KIF2C/IRS2/PTPA/CBFB/ZFP36L2/RHOQ,1
DACOSTA_UV_RESPONSE_VIA_ERCC3_DN,DACOSTA_UV_RESPONSE_VIA_ERCC3_DN,127,0.265474662,2.490868933,0.001083424,0.021051198,0.012570233,622,"tags=68%, list=48%, signal=39%",ROCK2/ZEB1/TIPARP/TGIF1/COG5/ACSL4/PTEN/STXBP3/ADNP/ATP2B1/PICALM/PARD3/SMAD7/UGCG/ARHGEF7/DUSP4/KIDINS220/PTPN1/GSK3B/SMCHD1/SOX9/WWTR1/SUPT20H/TP53BP1/PTK2/DNAJC13/LMNB1/CDH2/TCF7L2/MED13/RUNX1/SMARCA2/MNT/FERMT2/SOS1/EGFR/PPP2R2A/ZEB2/ANKRD17/PKN2/JUN/TEAD1/CREBBP/MTX2/EMC2/ACSL3/DYRK1A/WRN/MAPK14/LDLR/ATP2C1/YAP1/RAB6A/SUCO/APC/EXT1/CAND1/MBNL1/E2F3/CCND1/SLC7A1/GIGYF2/CDS2/CCDC6/NPEPPS/SCAF8/CHD1/CDK8/TAF4/SLC4A7/RB1CC1/PMM2/TXNRD1/ARHGAP29/BMPR1A/IGF1R/ZMYND8/VCL/SUZ12/DICER1/CNOT4/FBXW11/SETD2/STAG1/RCOR1/CSNK2A1,2
KOINUMA_TARGETS_OF_SMAD2_OR_SMAD3,KOINUMA_TARGETS_OF_SMAD2_OR_SMAD3,92,0.275278967,2.3460398,0.001126126,0.021051198,0.012570233,608,"tags=67%, list=47%, signal=39%",CMIP/TIPARP/AHR/TGIF1/GATA3/CDKN1A/PICALM/RNH1/TFAP2A/SMAD7/ITGB1/WWTR1/FERMT1/PTK2/SLC38A2/ATP1B3/SNAI2/RUNX1/SSBP3/DOCK5/MYH9/MNT/SREBF1/TMEM80/EGFR/FOSL1/RCC1L/ITGAV/GLS/ARID2/NDE1/FCHO2/TLN1/BRD2/YAP1/EXT1/JUNB/MBNL1/SLC20A1/IRF2BP2/SLC7A5/EXT2/MORF4L1/SNAP23/TNPO1/COQ2/SLC7A1/ZW10/MIOS/IKBKG/MT2A/FURIN/SLC25A28/TXNRD1/METTL17/POLG/ARID1A/ZMYND8/VCL/VPS35/EEF2KMT/TEDC1,3
MOOTHA_HUMAN_MITODB_6_2002,MOOTHA_HUMAN_MITODB_6_2002,94,0.25005458,2.131849113,0.001128668,0.021051198,0.012570233,785,"tags=81%, list=60%, signal=34%",PDHA1/ACSL4/COQ7/RAF1/NDUFC1/GLS/HCCS/NDUFA3/ACSL3/ALDH18A1/CYB5B/NDUFA10/CPOX/NDUFV2/NDUFA2/NDUFS8/NDUFS3/NDUFC2/MTCH2/NDUFB8/SLC25A1/MRPL57/NDUFA8/UQCRB/NDUFS2/NDUFB7/NDUFB2/NDUFB6/COX4I1/NDUFA1/SLC25A28/TIMM17A/NDUFS7/NDUFB3/UROS/POLG2/NDUFA6/POLRMT/POLG/NDUFS1/NDUFS5/SDHD/MRPS17/COX11/COX6A1/COX5A/IDH3A/NDUFA9/UQCRC2/ATP5MG/NDUFA4/GATB/REXO2/TIMM8A/GPX4/ATP5ME/FECH/MRPS34/CYC1/MRPL2/COX7B/MRPL13/TOMM70/COX6C/ATP5F1C/AK2/ATP5PO/MRPS16/DHODH/COX7C/SSBP1/SDHC/MRPS2/ATP5PB/FDX1/COX17,4
MILI_PSEUDOPODIA_HAPTOTAXIS_DN,MILI_PSEUDOPODIA_HAPTOTAXIS_DN,81,0.279489245,2.277673428,0.001148106,0.021051198,0.012570233,664,"tags=73%, list=51%, signal=38%",TAPT1/SLC16A1/ARHGEF7/SLC35A2/ITGA3/DERL2/ITGB1/FGFR1/SLC38A2/SPTLC2/SLC2A1/UXS1/ERBB2/SREBF1/SLC35B2/MED15/MANF/TM9SF3/STT3A/MMGT1/SQLE/ICMT/TLN1/LDLR/SUCO/SLC20A1/TAF5L/EMC1/TMX2/SLC7A5/UNC50/ANKRD11/EXT2/CERS2/SURF4/DOLK/ALG12/MGAT1/CDS2/TTC7A/SLC4A7/KDSR/FAF2/FZR1/POLRMT/POLG/IGF1R/SLC39A10/ARID1A/ZMYND8/VCL/SPTLC1/EMC7/HSD17B12/PTPN23/UBIAD1/GLRX3/MEN1/ATG9A,5
GRESHOCK_CANCER_COPY_NUMBER_UP,GRESHOCK_CANCER_COPY_NUMBER_UP,77,0.314988432,2.529580888,0.001149425,0.021051198,0.012570233,514,"tags=65%, list=40%, signal=42%",NF2/FLCN/ARNT/CDH1/PTEN/PICALM/BCL9/TP53/FBXW7/NF1/PAX8/BRAF/IRF4/TCF3/TSC2/TSC1/FGFR1/MYCN/RUNX1/FLI1/MYH9/ERBB2/CCND3/BCL6/NRAS/EGFR/HOXD13/STK11/CREBBP/KMT2A/WRN/PDE4DIP/APC/EXT1/PTPN11/CTNNB1/PIK3CA/EXT2/CCND2/HSP90AB1/CCND1/NCOA4/CCDC6/RBM15/CEP43/PCM1/CDK6/SH3GL1/PRKAR1A/KDSR,6
REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES,REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES,74,0.335357281,2.651097905,0.001156069,0.021051198,0.012570233,353,"tags=54%, list=27%, signal=42%",ROCK2/GAB1/BRK1/ARF6/BCAR1/PIK3R1/ARHGEF7/DUSP4/KIDINS220/BRAF/ITGA3/PTPN1/ITGB1/MEF2C/ASCL1/SHC1/ELMO2/PAK2/CTNNA1/FGFR1/PTK2/MUC20/MAPK1/CSK/RICTOR/ERBB2/NRAS/SOS1/EGFR/FOSL1/ITGAV/CRK/ERBB3/PIK3CB/MAPK14/PXN/YAP1/JUNB/PTPN11/CTNNB1,7
KEGG_PATHWAYS_IN_CANCER,KEGG_PATHWAYS_IN_CANCER,64,0.401657348,3.051497846,0.001160093,0.021051198,0.012570233,554,"tags=78%, list=43%, signal=47%",ARNT/CDKN1A/CDH1/PTEN/TGFBR1/PIK3R1/TP53/PAX8/BRAF/ITGA3/GSK3B/ITGB1/CTNNA1/FGFR1/PTK2/MAPK1/TCF7L2/RUNX1/SLC2A1/ERBB2/FADD/NRAS/SOS1/EGFR/E2F1/RAF1/ITGAV/JUN/CREBBP/CRK/PIK3CB/APC/EGLN1/E2F3/CTNNB1/HDAC1/PIK3CA/RAC3/HSP90AB1/CCND1/NCOA4/CCDC6/IKBKG/CCNE1/CDK6/CRKL/BIRC2/IGF1R/TRAF2/EP300,8
REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS,REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS,64,0.299518988,2.275525523,0.001160093,0.021051198,0.012570233,373,"tags=52%, list=29%, signal=39%",CDKN1A/GAB1/PTEN/TGFBR1/PIK3R1/FBXW7/NF1/BRAF/DERL2/GSK3B/SHC1/TSC2/FGFR1/MAPK1/TCF7L2/CSK/RICTOR/ERBB2/NRAS/SOS1/EGFR/RAF1/CCNC/MIB1/CREBBP/ERBB3/PIK3CB/TLN1/APC/PTPN11/CTNNB1/HDAC1/PIK3CA,9
REACTOME_HEMOSTASIS,REACTOME_HEMOSTASIS,64,0.33518704,2.54650521,0.001160093,0.021051198,0.012570233,391,"tags=58%, list=30%, signal=42%",GNA13/GATA3/STXBP3/ATP2B1/BCAR1/PIK3R1/SLC16A1/TP53/ITGA3/PTPN1/ITGB1/SHC1/PTK2/IRF2/ATP1B3/MAPK1/VPS45/CSK/STX4/DOCK5/CAP1/NRAS/SOS1/MANF/RAF1/ITGAV/CRK/RBSN/PIK3CB/TLN1/MAPK14/MYB/PTPN11/HDAC1/PIK3CA/SLC7A5/ITPK1,10
