"","genes","diff_","t_","p_"
"1","AAMP",-0.053710175,0.956119270264983,0.490251496647101
"2","AARS1",0.0334452600000001,-0.45608659582441,0.712373618232264
"3","AARS2",0.13079892,-2.29288710839129,0.243415775512813
"4","AASDHPPT",0.0686325,-1.49221003434124,0.282572032556366
"5","AATF",-0.0602182649999999,1.18782749507894,0.360040784940943
"6","ABCB7",0.05347988,-3.7605823962541,0.127856035073082
"7","ABCE1",0.01324685,-0.224155642927992,0.856464451287122
"8","ABCF1",0.0274673999999999,-2.89671274789205,0.115547108371109
"9","ABT1",0.0370838,-4.97081820995776,0.0476987082733053
"10","ACACA",-0.10142132,0.602583086747702,0.644740104799362
"11","ACIN1",0.0516061299999999,-1.47212139024373,0.347991547480051
"12","ACLY",0.0118467799999999,-1.07809837470741,0.394185105775875
"13","ACO2",-0.010435945,0.26202222663552,0.836683903845851
"14","ACSL3",0.0752933950000001,-2.69759787265526,0.165537181838632
"15","ACSL4",-0.03208363,0.803864522206543,0.55792777296163
"16","ACTB",0.023208655,-0.319257554247821,0.787960370200334
"17","ACTG1",0.01372768,-0.220287589384212,0.850151902168289
"18","ACTL6A",0.0169455350000001,-0.212285570165355,0.852096628914557
"19","ACTR10",0.0405695000000001,-1.02207040687759,0.475294442780195
"20","ACTR1A",0.0112641250000001,-0.198309568358511,0.874557874010119
"21","ACTR2",0.000777325000000051,-0.0119122184417156,0.992369837506766
"22","ACTR3",0.013157155,-0.757427330862104,0.545957150320439
"23","ACTR5",0.0820737449999999,-1.32673708998096,0.327172166198594
"24","ACTR6",0.11181112,-3.46518117906942,0.163972267365633
"25","ACTR8",0.00501161999999999,-0.10392641465596,0.928270878856372
"26","ADAR",0.0758770600000001,-1.77890892503548,0.309842952858439
"27","ADAT2",0.14075053,-6.1121481493332,0.0989860388627734
"28","ADAT3",0.0761099000000001,-5.46328448528388,0.0638460817089675
"29","ADNP",0.0380697299999999,-1.66452580133785,0.341029443589258
"30","ADRM1",0.019417405,-0.710339790966349,0.572185838217224
"31","ADSL",0.1099771,-12.454487298308,0.0507026730403644
"32","ADSS2",0.11969813,-4.9482835869326,0.122483867236088
"33","AFG3L2",0.09888507,-4.07457981581725,0.127834409139916
"34","AHCTF1",-0.01933993,1.13837400272759,0.374258933623339
"35","AHCY",0.0206875550000001,-0.82800844407379,0.552812213358104
"36","AHCYL1",0.13308415,-4.19278803535646,0.0864501929557894
"37","AHR",0.01163887,-0.304633064709341,0.794269808983183
"38","AIFM1",0.0548971700000001,-0.909542120155889,0.52858635602093
"39","AK2",0.14638545,-3.10691552675668,0.191500703434976
"40","AK6",0.206751765,-1.40110722620344,0.357023638579009
"41","AKIRIN2",0.0410060400000001,-1.34590196078954,0.335177289339182
"42","ALDH18A1",0.10485648,-3.50561956843521,0.096682569312429
"43","ALDOA",0.026987745,-0.353533377757587,0.776808950562181
"44","ALG1",0.055332685,-1.63353220778141,0.319964991235021
"45","ALG11",0.0359287050000001,-0.570414235438292,0.627675835750069
"46","ALG12",0.0636688,-1.17918424966993,0.442526139550472
"47","ALG13",0.078103075,-3.27987087750561,0.177464584852849
"48","ALG14",0.0493335599999999,-1.92229028505721,0.303105694579151
"49","ALG2",0.0458434750000001,-1.0889066002312,0.434333203646345
"50","ALG8",0.0804136500000001,-3.82537885441463,0.140124750382094
"51","ALYREF",-0.0117730700000001,1.52686516061613,0.297277129243232
"52","AMBRA1",0.0621983,-1.02341584227022,0.443941761600134
"53","AMD1",-0.088394555,0.910298228780022,0.526736744492091
"54","ANAPC1",-0.017210045,0.797510141568157,0.509897870268943
"55","ANAPC10",0.0690781499999999,-1.2419029136267,0.428392419602478
"56","ANAPC11",0.0229447200000001,-0.534128611675548,0.681161283628222
"57","ANAPC13",0.0415166499999999,-0.414992322486798,0.735800872877463
"58","ANAPC15",0.11421447,-4.12956767560907,0.131717372535411
"59","ANAPC2",0.112123585,-12.7887215574912,0.0494715056950204
"60","ANAPC4",-0.019962925,0.504914439595349,0.664085859094354
"61","ANAPC5",0.0716105499999999,-1.77690902201881,0.247369848595467
"62","ANKLE2",-0.04049654,0.838535653775524,0.511902745943752
"63","ANKRD11",0.070848345,-2.93496891489052,0.186093585386737
"64","ANKRD17",0.0523322300000002,-3.27827240735736,0.138300565095449
"65","ANKRD49",0.03318921,-1.13666073614687,0.41559706104504
"66","ANLN",-0.053849775,0.490478888512798,0.672386970574648
"67","AP1G1",0.02332725,-0.857683244695189,0.482079665267585
"68","AP2M1",0.0399810650000001,-2.14497091444346,0.212426960843193
"69","AP2S1",0.0873172200000001,-7.00700653361564,0.0584750676515304
"70","APC",0.02981307,-1.40354302088409,0.304684795053762
"71","APEX2",0.03932068,-1.11802796904501,0.386388272904228
"72","AQP7",0.02399988,-0.808773161064884,0.508116705039802
"73","AQR",0.013827,-1.07807101573072,0.401948435805891
"74","ARCN1",0.03120192,-0.575262866445958,0.667593939076652
"75","ARF1",0.09028935,-6.34318916994681,0.0903365417834075
"76","ARF4",0.0197457699999999,-0.472547731126262,0.703864420000507
"77","ARF6",0.0257548049999999,-0.981046777970849,0.496643248945612
"78","ARFRP1",-0.00271090499999993,0.0274386303252903,0.98243956542873
"79","ARHGAP29",0.0797595449999999,-1.60239493385421,0.251615852234889
"80","ARHGEF7",0.11381474,-6.78185384742375,0.0874346901146421
"81","ARID1A",0.037269185,-0.786298708288167,0.538875745358265
"82","ARID2",0.0497290749999999,-1.03262486260344,0.445005398615522
"83","ARID4B",0.0200505999999999,-0.998240286635501,0.447860863382491
"84","ARIH1",0.059822945,-1.05778101475813,0.431048432881352
"85","ARIH2",0.0314805749999999,-0.37850740729958,0.742149123935232
"86","ARL2",-0.00430982999999996,0.156934292640318,0.895380087710886
"87","ARMC5",0.069566865,-0.587873239607727,0.620522667895824
"88","ARNT",0.081014965,-3.83892843236888,0.091626728648488
"89","ARPC3",0.12691527,-4.95527790365086,0.119345131096453
"90","ARPC4",0.0458509199999999,-1.28039906973031,0.396020920020213
"91","ASCC3",0.09591434,-1.20478439349446,0.410607543732704
"92","ASCL1",0.0943954499999999,-4.61154423191905,0.0440380511843604
"93","ASNS",0.04830694,-2.37055227482811,0.233564771934431
"94","ASPM",-0.00418392499999998,0.044279722301916,0.971828429846451
"95","ATF4",0.0358599500000001,-1.38414141617746,0.302335042413506
"96","ATG9A",0.106374055,-3.12008191188886,0.197451482237445
"97","ATIC",0.120897325,-7.30239169255478,0.0183075518184934
"98","ATL2",0.0728828300000001,-7.0907103785172,0.0193154375130363
"99","ATMIN",0.0815097849999999,-57.7699002434751,0.000764773057380117
"100","ATP1A1",0.07186567,-1.76432870791596,0.255957513879044
"101","ATP1B3",0.06746955,-0.697750904674779,0.568551142519866
"102","ATP2A2",0.12268982,-3.18487506597334,0.134898448667031
"103","ATP2B1",0.0783593699999999,-0.742494365164313,0.550936874459665
"104","ATP2C1",0.177771335,-2.49474969172454,0.241913424247765
"105","ATP5F1A",0.0615332799999999,-4.11918455348223,0.0655083272125365
"106","ATP5F1B",0.0318896200000001,-1.09780616525315,0.3932565543619
"107","ATP5F1C",0.00692658999999995,-0.259278797373613,0.831873489262182
"108","ATP5F1D",0.0604488599999999,-4.07911087640277,0.146112746279746
"109","ATP5F1E",0.0278088750000001,-2.87331054634453,0.168429290989113
"110","ATP5ME",0.07391379,-6.96470920734174,0.0721088628429183
"111","ATP5MF",0.030106195,-7.18964597531647,0.0434845977188571
"112","ATP5MG",0.0695008949999999,-15.7046602912946,0.00410263917409843
"113","ATP5PB",0.0408576200000001,-1.52719535795472,0.267436505971418
"114","ATP5PO",0.0572167,-14.2381209577818,0.0104321323199985
"115","ATP6AP1",0.02651762,-1.4760080890653,0.37804257416989
"116","ATP6AP2",0.03394852,-0.730518936215941,0.542227617701882
"117","ATP6V0B",0.00407786499999996,-0.167373513483898,0.882474116697032
"118","ATP6V0C",-0.0343901049999999,2.38231257732904,0.196963485961278
"119","ATP6V0D1",0.0117755799999999,-0.252849532234197,0.836571804968143
"120","ATP6V0E1",0.114946125,-8.35681735536794,0.0217055500973466
"121","ATP6V1A",-0.00746298000000006,0.158333603392569,0.891878590635222
"122","ATP6V1B2",-0.026438535,0.518762508453935,0.689386845345525
"123","ATP6V1C1",0.0153608049999999,-0.605984087960196,0.614411069115965
"124","ATP6V1D",0.0630807949999999,-2.30853638790791,0.151031276356777
"125","ATP6V1E1",0.0287614249999999,-0.604819492237446,0.621338461009869
"126","ATP6V1F",0.00543489000000008,-0.301381350436824,0.803246076609802
"127","ATP6V1G1",0.00359038999999994,-0.109492729424395,0.928906726551849
"128","ATP6V1H",0.01197695,-0.406653257895313,0.746869126544983
"129","ATR",-0.0198610399999999,7.1512547685763,0.0738522356696471
"130","ATRIP",0.0871036549999999,-1.97659812423838,0.29157686947726
"131","ATXN7L3",0.0303241499999999,-0.528832450424671,0.656612598126824
"132","AURKA",-0.0122783150000001,0.294444631440914,0.814593857593122
"133","AURKB",-0.03646256,0.687992817022314,0.6084236023914
"134","BANF1",-0.00920369500000007,0.269147991052316,0.821327834953071
"135","BANP",0.00300864999999995,-0.102717185948875,0.929177932751558
"136","BAP1",-0.0339278999999999,1.42768548029349,0.313299320531759
"137","BARD1",0.04135708,-0.90884492276943,0.495483864770971
"138","BCAR1",0.0335389800000001,-1.51021260961476,0.321949809682107
"139","BCAS2",0.02444363,-0.946403089419172,0.511390857823158
"140","BCL2L1",-0.011621015,0.48431233357558,0.676011700353955
"141","BCL6",0.060586385,-2.65518434950517,0.158340990568196
"142","BCL9",0.057434325,-1.27941687450831,0.361154924905664
"143","BCLAF1",0.0703849599999999,-3.38319032465818,0.134463497473797
"144","BCS1L",0.0962091249999999,-6.17572481337931,0.0919943212020831
"145","BDP1",0.068372,-3.19879761425819,0.105586582068748
"146","BET1",0.0947029599999999,-2.92026623075886,0.161511471559658
"147","BIRC2",0.0448432799999999,-4.8648260795283,0.115092076733796
"148","BIRC5",-0.092026645,3.66255423326944,0.0888924289762748
"149","BIRC6",0.0481668049999999,-1.4403364921183,0.293491900448175
"150","BMPR1A",0.0565025649999999,-0.445026874625715,0.710146921176058
"151","BMS1",0.03420862,-5.00371968080188,0.0424921316144587
"152","BNIP1",0.10580158,-1.80942020581988,0.277636128911077
