"","genes","score","id"
"1","RBBP7",0.7849697,551
"2","HDAC1",0.7844071,556
"3","RCOR1",0.78128755,586
"4","TBL1XR1",0.770261575,666
"5","H2AC15",0.70908165,944
"6","H2BC21",0.69638585,980
"7","HDAC3",0.67844582,1013
"8","H2BC15",0.676694075,1017
"9","H2BC9",0.676694075,1018
"10","H2BC13",0.674724165,1023
"11","H2AC20",0.670599475,1032
"12","H2AC17",0.64222885,1085
"13","H2BC6",0.62301273,1116
"14","CHD4",0.61650368,1120
"15","H2BC11",0.602483125,1141
"16","H2BC4",0.518897635,1223
"17","TGFBR1",0.904640625,8
"18","TP53",0.89913995,12
"19","TAOK1",0.88506165,31
"20","NF1",0.882731645,39
"21","BRAF",0.86990777,57
"22","CRK",0.86746245,61
"23","DUSP4",0.858721275,86
"24","PAK2",0.85536516,104
"25","MAPK14",0.84697493,133
"26","IKBKG",0.8410328,167
"27","SOS1",0.84086725,169
"28","RAF1",0.8387675,176
"29","FGFR1",0.83445522,202
"30","MAPK1",0.83109285,225
"31","EGFR",0.82886035,238
"32","MAP4K4",0.82444745,277
"33","NRAS",0.823872665,282
"34","MEF2C",0.8233825,286
"35","MAP3K7",0.8163071,331
"36","CDC25B",0.813761435,347
"37","CHP1",0.808122325,390
"38","DAXX",0.80212,430
"39","TRAF2",0.79914955,459
"40","JUN",0.79884015,461
"41","RAC3",0.785677625,547
"42","LAMTOR3",0.77659227,616
"43","RELA",0.7753385,627
"44","ATF4",0.77463865,632
"45","CRKL",0.772411255,646
