"","genes","diff_","t_","p_"
"1","AAMP",0.0176287394085592,-6.47676754917267,1.59352148528614e-10
"2","AARS1",0.018108757282463,-6.61701437480371,6.1680638218845e-11
"3","AARS2",0.00790219109113821,-2.29032510443552,0.0222318030972363
"4","AASDHPPT",0.0124794334721746,-3.86887945496566,0.000117104143905333
"5","AATF",0.011698757257284,-3.29902047997512,0.00100504684537681
"6","ABCB7",0.00402574278780621,-2.1340810250902,0.0330928168539321
"7","ABCE1",0.0103571545043099,-3.75471751079791,0.000183041781419771
"8","ABCF1",0.0122446664350488,-5.40714459692096,8.06909823897071e-08
"9","ABT1",0.00782846935575665,-2.93126763046597,0.00345792103081752
"10","ACACA",0.0123387105650015,-3.30351550205122,0.000992345103680086
"11","ACIN1",-1.87800905837587e-05,0.00685614752394467,0.994531061876459
"12","ACLY",0.0125657256725729,-5.14801364117854,3.19923414426769e-07
"13","ACO2",0.0117378716720435,-4.78566518255119,1.97239317343745e-06
"14","ACSL3",0.0092073083017189,-3.33319941691528,0.000891595978019735
"15","ACSL4",0.00105602148555806,-0.358046045880584,0.720393265329323
"16","ACTB",-0.00376371288441368,0.882397904540653,0.377787037471251
"17","ACTG1",0.0102420679321756,-3.15057280264328,0.001674245090417
"18","ACTL6A",0.0103094729827099,-4.98110462592442,7.54247616416114e-07
"19","ACTR10",0.00433522393847663,-2.01750970402283,0.0439387034291881
"20","ACTR1A",0.0160179056970713,-4.61986148162096,4.39992908864145e-06
"21","ACTR2",-0.00288706455834764,0.900603597913261,0.368038552752512
"22","ACTR3",0.00407265669077017,-1.57271830648943,0.116125500104962
"23","ACTR5",0.00337947459116339,-0.915902652080989,0.359962167315205
"24","ACTR6",0.00781518306318674,-3.26616908509788,0.00112713681617134
"25","ACTR8",0.00545890620659839,-1.93558261662672,0.0532147949476992
"26","ADAR",0.00566591565500552,-1.60833941528434,0.108087966509675
"27","ADAT2",0.00155042225509128,-0.38735899300354,0.698577574305318
"28","ADAT3",0.00189010541148305,-0.529266190397823,0.596736723642086
"29","ADNP",0.0123816807780773,-3.89817590805977,0.000103651934251986
"30","ADRM1",0.0147387353772557,-5.07408817409363,4.73745942128452e-07
"31","ADSL",-0.0059260993700726,1.637951025915,0.101772248284509
"32","ADSS2",0.00752644256227941,-2.5428798194107,0.0111465048913101
"33","AFG3L2",0.00177317981341363,-0.677044051093037,0.498554158556621
"34","AHCTF1",0.00546048466349935,-2.7374967241682,0.00630863927827186
"35","AHCY",0.000183276925546871,-0.0878026707939762,0.930051424762763
"36","AHCYL1",0.0145180540800232,-3.97335461977822,7.66877870865368e-05
"37","AHR",0.0184933522769181,-7.50500072696122,1.42550808372052e-13
"38","AIFM1",0.0149442711061095,-5.27773186929542,1.63081190578877e-07
"39","AK2",0.0099997087212168,-2.47541513024928,0.0134871549713877
"40","AK6",0.00899657421854527,-2.55577338888693,0.0107374197271944
"41","AKIRIN2",0.0131930877368939,-5.21904777123348,2.20783957333309e-07
"42","ALDH18A1",0.0067956560456699,-2.32650807623929,0.0202073091736821
"43","ALDOA",-0.00610701233248101,1.09793676920819,0.272517697607508
"44","ALG1",0.0070161082056911,-2.69190734717751,0.007238982175932
"45","ALG11",0.0158644469284706,-5.35741231203404,1.07537584539271e-07
"46","ALG12",0.00996282719565988,-3.53620709572771,0.0004262869274241
"47","ALG13",0.0133277362715747,-4.95342182843974,8.66349416254034e-07
"48","ALG14",0.00871379956626173,-3.20509897920433,0.00139630055731871
"49","ALG2",0.00067311292121186,-0.264350103986398,0.791572012402539
"50","ALG8",0.00218209044555906,-0.740914315079743,0.458930111631279
"51","ALYREF",0.00546631596592395,-2.64794805703632,0.00822807838821182
"52","AMBRA1",0.00398804064822567,-1.42885919074143,0.153374978051703
"53","AMD1",0.0100351515069059,-3.26545545836655,0.00113278841952877
"54","ANAPC1",0.0111349446269029,-5.40734725053646,8.10937814608255e-08
"55","ANAPC10",0.0127011734069966,-4.14479613988079,3.70730381925151e-05
"56","ANAPC11",0.00573497845352355,-2.43360343189909,0.0151404019393492
"57","ANAPC13",0.0130144977620223,-3.64305789029222,0.000284969504793425
"58","ANAPC15",0.0183387844188174,-4.8259251931177,1.63389418257398e-06
"59","ANAPC2",0.0118055011766055,-3.61241703699386,0.000320718077355591
"60","ANAPC4",0.0174319889064423,-8.05075145675326,2.52767765760708e-15
"61","ANAPC5",0.0155897089288738,-6.00000406046883,2.85563125489074e-09
"62","ANKLE2",0.0146802473753906,-3.83316421690325,0.000135767700452519
"63","ANKRD11",0.0116246697559986,-3.82035867188551,0.000142266631974332
"64","ANKRD17",0.00511387898376858,-1.95641573746664,0.0507144802229023
"65","ANKRD49",0.00650570307777998,-2.42271787342878,0.0155913034328573
"66","ANLN",0.00583472364028625,-1.44290605579672,0.149353489397054
"67","AP1G1",0.0106183682262577,-5.61799545079787,2.52699447835861e-08
"68","AP2M1",-0.00250250874206071,0.957018837013218,0.338798671378192
"69","AP2S1",-0.000521372350337779,0.177846815719545,0.8588814198551
"70","APC",0.0108658661502672,-5.13444016649241,3.41715144417548e-07
"71","APEX2",0.0106766672665591,-4.77262539692809,2.10211023791487e-06
"72","AQP7",0.00657662649087609,-2.70926321304227,0.00686506991076031
"73","AQR",0.00916313673384417,-4.36321352149127,1.41712959329483e-05
"74","ARCN1",0.0142174666702792,-5.20835036257395,2.38196691178252e-07
"75","ARF1",0.0107101386087812,-3.06588109395656,0.0022337601318228
"76","ARF4",0.017172229605429,-4.51091249892871,7.25110429278732e-06
"77","ARF6",0.00902301639169778,-3.57566248941099,0.00036798639691462
"78","ARFRP1",0.0114802128958816,-3.48954757000478,0.000507057768338803
"79","ARHGAP29",0.00418735643618307,-1.01186584186966,0.311847630914605
"80","ARHGEF7",0.0159683700651275,-5.45588015418361,6.1487578627856e-08
"81","ARID1A",0.00619392529907248,-2.07203073233247,0.0385307331655874
"82","ARID2",0.00809306781238028,-3.76234998974657,0.000178541224748437
"83","ARID4B",0.0117921691250882,-4.84538729598259,1.48055885599863e-06
"84","ARIH1",0.0168113561398578,-5.21149808199132,2.30437801495784e-07
"85","ARIH2",0.00702841309602786,-1.7705419573836,0.0769806681814066
"86","ARL2",0.00479868110779813,-1.62095514758061,0.105399215984902
"87","ARMC5",0.0124333552493952,-2.75427164434045,0.00600504917183961
"88","ARNT",0.00855200531762268,-3.49222181236881,0.000500161858983035
"89","ARPC3",0.00585434467113621,-1.77392114534648,0.0763937952714438
"90","ARPC4",0.0026036805162315,-0.88826206914697,0.374625879663169
"91","ASCC3",0.0117474601710102,-3.45512194626506,0.000573747109815363
"92","ASCL1",0.0140956336444702,-5.63539608783256,2.31409066800753e-08
"93","ASNS",0.013530993401225,-4.70919212797882,2.86262486179419e-06
"94","ASPM",0.00541161629254461,-1.2793420886039,0.201078469188241
"95","ATF4",0.00896141107445303,-3.67106680247211,0.000254968195666648
"96","ATG9A",0.00592236900088217,-1.89932301677219,0.0578175317837902
"97","ATIC",-0.00472991213126317,1.13255218246815,0.257682608519041
"98","ATL2",0.0158373340800484,-6.11374687175204,1.4264379298974e-09
"99","ATMIN",0.00658237560782338,-2.46863356691892,0.013731567126666
"100","ATP1A1",-0.0112686841669272,2.5495387192627,0.0109542186808373
"101","ATP1B3",0.00588290537115632,-1.62429672700957,0.104657150971751
"102","ATP2A2",0.0112861317920657,-2.87946471453161,0.00406898348192195
"103","ATP2B1",0.0184618688090785,-4.47565589705434,8.64183924158403e-06
"104","ATP2C1",0.0117829794401653,-3.20799868264946,0.00138646271901862
"105","ATP5F1A",0.00978780003389967,-3.45758586283279,0.000570908619397567
"106","ATP5F1B",0.0105965600138874,-4.93222450228437,9.68657262263376e-07
"107","ATP5F1C",0.00912264514220185,-3.79012793245684,0.00016020014585557
"108","ATP5F1D",0.0124172916698256,-4.91848694304056,1.03603412562692e-06
"109","ATP5F1E",0.010792921136783,-4.96598599052379,8.14374988538804e-07
"110","ATP5ME",0.0109115874856588,-4.19527752260278,2.99665848938615e-05
"111","ATP5MF",0.0111158636781178,-4.95785344639212,8.5304419925436e-07
"112","ATP5MG",0.0114814196416978,-4.39565517675016,1.23651857027304e-05
"113","ATP5PB",0.0132620119732332,-5.11075873330612,3.94537519927883e-07
"114","ATP5PO",0.0100411010419649,-3.99817836328506,6.91059665192614e-05
"115","ATP6AP1",0.000164940189661289,-0.0581416510189743,0.953648355769575
"116","ATP6AP2",-0.00273627465525761,0.972199891517901,0.331184826680013
"117","ATP6V0B",6.72232274423479e-05,-0.0269230733061014,0.978526849461047
"118","ATP6V0C",-0.00146628149430383,0.520069258097114,0.603140804697429
"119","ATP6V0D1",0.00173847677298611,-0.678919340471374,0.49736521269187
"120","ATP6V0E1",0.0063999036380179,-1.74711494260291,0.0809695710611435
"121","ATP6V1A",0.00167123743824982,-0.702287475496469,0.482683266706715
"122","ATP6V1B2",0.00737449803145485,-3.48903969797218,0.000507023680685097
"123","ATP6V1C1",0.00372558940087198,-1.51964035402082,0.128937381667885
"124","ATP6V1D",0.00728029844094669,-2.8313957449877,0.00473620989167918
"125","ATP6V1E1",0.00422552071355475,-1.65803954875008,0.0976402198500865
"126","ATP6V1F",0.000292652018424322,-0.111590065264627,0.911173667151746
"127","ATP6V1G1",-0.00228473599039725,0.917200270525775,0.359300006124679
"128","ATP6V1H",0.00280181916607025,-1.10161373558123,0.270907847518576
"129","ATR",0.00803953312100514,-4.32203258725966,1.70877572329202e-05
"130","ATRIP",0.014633851059255,-6.50644933592902,1.22358641945527e-10
"131","ATXN7L3",0.0137814851550307,-4.70486350298482,2.88437041249864e-06
"132","AURKA",0.0144470821375391,-4.92370321174803,1.01277350651738e-06
"133","AURKB",0.0124026284836173,-5.00697920401551,6.65203706855176e-07
"134","BANF1",0.00596363512065229,-3.00071807165438,0.00276512503552735
"135","BANP",0.0122104338466076,-5.72434648700877,1.37194073402903e-08
"136","BAP1",0.00409324780607923,-1.22122980194167,0.222289683266406
"137","BARD1",0.0130943553506906,-5.17221194352262,2.8140931537808e-07
"138","BCAR1",0.0206998372620728,-7.86726761036384,9.95912196938274e-15
"139","BCAS2",0.00958235702313737,-4.49204116481866,7.98080779069833e-06
"140","BCL2L1",0.00632872144548347,-2.94017066352132,0.00335470928291149
"141","BCL6",0.00920509415273718,-3.63714324530569,0.000290265860306636
"142","BCL9",0.0177422794495161,-4.89923686077675,1.13759631804996e-06
"143","BCLAF1",0.00486370745095277,-1.93992396311543,0.0526742918600738
"144","BCS1L",0.0130555141067648,-4.86974404118874,1.32915341490761e-06
"145","BDP1",0.0102861719976308,-4.17537181643441,3.25763195600007e-05
"146","BET1",0.00794782322842524,-2.29000106572027,0.0222564990539631
"147","BIRC2",0.0107595499873475,-3.74509901047019,0.000191609725108818
"148","BIRC5",0.0079766186340357,-3.50282468175192,0.000481348826825983
"149","BIRC6",0.0139066048316111,-5.64464967448153,2.19845896198538e-08
"150","BMPR1A",0.00907477923759947,-2.92556327998923,0.0035100196094975
"151","BMS1",0.00867415711266251,-3.5424373621976,0.000415546958843446
"152","BNIP1",0.00513248434081059,-1.49963596233223,0.134042735973207
"153","BOP1",0.010146367785311,-3.34867735609634,0.000843975832081804
"154","BORA",0.0102447129253453,-4.21331347724509,2.74462974334726e-05
"155","BPTF",0.0140550345723863,-6.46165555661899,1.68681577392219e-10
"156","BRAF",0.0141151920187519,-5.19198766806316,2.54401573805185e-07
"157","BRAP",0.0148209563240498,-6.09728544334312,1.56504429543575e-09
"158","BRAT1",0.0132280464298317,-5.35214762591948,1.09466804813009e-07
"159","BRCA1",0.0126825362232584,-4.45361178206619,9.46386647799748e-06
"160","BRCA2",0.0104980089384515,-3.72365089556091,0.000207590185140434
"161","BRD2",0.0103464246437897,-4.15742517874771,3.51445570588671e-05
"162","BRD4",0.0123168625221797,-6.31375540747799,4.24654229434232e-10
"163","BRF1",0.0127868492693819,-4.13850001338197,3.81516357285698e-05
"164","BRF2",0.010681512183209,-5.2355410294694,2.03490097578208e-07
"165","BRIP1",-0.00110008148918739,0.286671365272379,0.774423011704721
"166","BRIX1",0.00989816154188938,-3.92142991519862,9.43569226755131e-05
"167","BRK1",0.0144542193128844,-5.52152540430136,4.38696994943154e-08
"168","BRPF1",0.0111433153403317,-4.65139813904362,3.76764299280561e-06
"169","BTAF1",0.00775616855618011,-2.1414385783795,0.0324910504703267
