"","V1","project","genes","diff_","t_","p_"
"1",7051,"TCGA-COAD","AAMP",-0.00875648505185178,0.952251934413348,0.34540815338245
"2",7052,"TCGA-COAD","AARS1",-0.0152365890962963,1.29710634653695,0.201151454184998
"3",7053,"TCGA-COAD","AARS2",-0.0109706904888889,0.671423288748319,0.505158588910294
"4",7054,"TCGA-COAD","AASDHPPT",-0.0189426850962963,1.17190207813816,0.247127466463455
"5",7055,"TCGA-COAD","AATF",-0.0163488295481482,1.31528690838884,0.194986680296192
"6",7056,"TCGA-COAD","ABCB7",-0.00251588212592591,0.339674962806466,0.735681534591025
"7",7057,"TCGA-COAD","ABCE1",-0.00126624060740743,0.104621520566096,0.917177676805735
"8",7058,"TCGA-COAD","ABCF1",0.00103150586666667,-0.11095741661672,0.912136218237028
"9",7059,"TCGA-COAD","ABT1",-0.00951124222962962,0.779028950930121,0.439730695282801
"10",7060,"TCGA-COAD","ACACA",0.0155700946370371,-1.14292391746813,0.257425137296622
"11",7061,"TCGA-COAD","ACIN1",-0.00428164980740742,0.309949165254961,0.758001038109641
"12",7062,"TCGA-COAD","ACLY",-0.0180650926814815,1.53742852082191,0.130109257420046
"13",7063,"TCGA-COAD","ACO2",-0.0249786289481481,2.63238159655049,0.0111321679555001
"14",7064,"TCGA-COAD","ACSL3",-0.000265713162962977,0.0176355314512347,0.985999172725512
"15",7065,"TCGA-COAD","ACSL4",-0.00284023515555554,0.219919661550689,0.826997746778809
"16",7066,"TCGA-COAD","ACTB",-0.0252956670888889,1.31294593281223,0.195495611478277
"17",7067,"TCGA-COAD","ACTG1",-0.0222901938962963,1.50226234362614,0.139553325437564
"18",7068,"TCGA-COAD","ACTL6A",0.00286645259259266,-0.261698176423943,0.794795433254553
"19",7069,"TCGA-COAD","ACTR10",-0.0157752936814816,1.33484303630598,0.188946879763215
"20",7070,"TCGA-COAD","ACTR1A",-0.0248373365629629,1.95344491364979,0.0547200000704337
"21",7071,"TCGA-COAD","ACTR2",-0.0157175451555556,1.16009708530489,0.253266541448113
"22",7072,"TCGA-COAD","ACTR3",-0.00958354837777775,0.751227074495625,0.456136366306754
"23",7073,"TCGA-COAD","ACTR5",-0.00299231487407403,0.170790184100531,0.865030525006865
"24",7074,"TCGA-COAD","ACTR6",-0.00625592918518514,0.52039548168902,0.604972547687751
"25",7075,"TCGA-COAD","ACTR8",-0.00668966602962973,0.419520085852664,0.676634535138296
"26",7076,"TCGA-COAD","ADAR",-0.0104695549555556,0.545713916645946,0.588180355746829
"27",7077,"TCGA-COAD","ADAT2",-0.0262063780222223,1.45662068518009,0.150961973260918
"28",7078,"TCGA-COAD","ADAT3",-0.0233507677851852,1.8711736700608,0.0651377574609671
"29",7079,"TCGA-COAD","ADNP",0.00283882505185185,-0.217355436254922,0.829006240268736
"30",7080,"TCGA-COAD","ADRM1",-0.0139048280814814,1.01343901546296,0.31531822188542
"31",7081,"TCGA-COAD","ADSL",-0.0105563405185185,0.685659194962066,0.495981450518212
"32",7082,"TCGA-COAD","ADSS2",0.00241459333333327,-0.178039776556849,0.859395778369678
"33",7083,"TCGA-COAD","AFG3L2",-0.00352472951851845,0.331619955619854,0.741594199830075
"34",7084,"TCGA-COAD","AHCTF1",-0.00222992715555548,0.275395336577637,0.784281563342901
"35",7085,"TCGA-COAD","AHCY",-0.00868494708888889,0.874155722986971,0.386770865082542
"36",7086,"TCGA-COAD","AHCYL1",-0.00305481985185185,0.152471764338258,0.879552543779925
"37",7087,"TCGA-COAD","AHR",-0.00952877641481475,0.955877873499717,0.343818051125985
"38",7088,"TCGA-COAD","AIFM1",-0.0209285149777777,1.39276176435755,0.169370224946176
"39",7089,"TCGA-COAD","AK2",-0.0175349298148149,0.748620639361558,0.458162905834104
