"","V1","project","genes","diff_","t_","p_"
"1",11751,"TCGA-HNSC","AAMP",0.020027974025974,-1.42823371149128,0.174749073787797
"2",11752,"TCGA-HNSC","AARS1",-0.00662073090909088,0.323414671449135,0.751978073223151
"3",11753,"TCGA-HNSC","AARS2",0.0600659370562771,-2.33859556173333,0.0359088304257417
"4",11754,"TCGA-HNSC","AASDHPPT",0.00416679258297259,-0.184215186332682,0.856993622041414
"5",11755,"TCGA-HNSC","AATF",-0.0426987047186147,1.04491665278341,0.315667708907478
"6",11756,"TCGA-HNSC","ABCB7",0.00633441913419908,-0.839382695056517,0.410172278314083
"7",11757,"TCGA-HNSC","ABCE1",-0.0119591360606061,0.523836031613242,0.609347963401053
"8",11758,"TCGA-HNSC","ABCF1",0.00874383854256855,-0.645567061940454,0.52977414465184
"9",11759,"TCGA-HNSC","ABT1",-0.000531698210678222,0.0394748417468423,0.969084323000823
"10",11760,"TCGA-HNSC","ACACA",0.0242812247186147,-0.719182026378454,0.486962975895728
"11",11761,"TCGA-HNSC","ACIN1",0.0356276457720058,-2.52021324536499,0.0233882429419853
"12",11762,"TCGA-HNSC","ACLY",0.0385144323665224,-3.33139736074214,0.004087868422059
"13",11763,"TCGA-HNSC","ACO2",0.0350442903896104,-2.61218104755955,0.0208251304896019
"14",11764,"TCGA-HNSC","ACSL3",0.0313447946753247,-1.826822639149,0.0889605377698519
"15",11765,"TCGA-HNSC","ACSL4",0.00803421330447329,-0.608895069868066,0.550468926471514
"16",11766,"TCGA-HNSC","ACTB",0.0291157692640692,-1.43193091876404,0.170576723109925
"17",11767,"TCGA-HNSC","ACTG1",0.00682870689754689,-0.505944582450556,0.619603698045223
"18",11768,"TCGA-HNSC","ACTL6A",0.0183063490331891,-1.31717947183368,0.20997981534848
"19",11769,"TCGA-HNSC","ACTR10",0.0127409392640693,-0.954647876955983,0.355274829069285
"20",11770,"TCGA-HNSC","ACTR1A",0.0229329037518037,-1.00635081255285,0.3322813935146
"21",11771,"TCGA-HNSC","ACTR2",0.00766003945165949,-0.441464476127371,0.666553309644931
"22",11772,"TCGA-HNSC","ACTR3",0.0232370351948052,-1.72466944359143,0.104315017852161
"23",11773,"TCGA-HNSC","ACTR5",0.0482486313564213,-1.32279726685269,0.211528678335649
"24",11774,"TCGA-HNSC","ACTR6",0.0339135807070707,-2.01247187715265,0.0655591422109579
"25",11775,"TCGA-HNSC","ACTR8",0.0169869948917749,-0.61533673640102,0.549585260882324
"26",11776,"TCGA-HNSC","ADAR",0.0492083659018759,-1.55434186184237,0.142601121323988
"27",11777,"TCGA-HNSC","ADAT2",0.0530533485425685,-1.97151771682684,0.0692570826828611
"28",11778,"TCGA-HNSC","ADAT3",0.0733956529437229,-2.89262136240353,0.011852151180433
"29",11779,"TCGA-HNSC","ADNP",0.0564883406493507,-2.30766139766185,0.0362435607466315
"30",11780,"TCGA-HNSC","ADRM1",0.0234237453679653,-1.14339665768561,0.273757561613154
"31",11781,"TCGA-HNSC","ADSL",0.0446769958585859,-1.75644500633232,0.102253708936014
"32",11782,"TCGA-HNSC","ADSS2",0.0540478037662339,-2.88711492904409,0.0122104899025908
"33",11783,"TCGA-HNSC","AFG3L2",0.0256138927994227,-1.38008050319841,0.19107163260379
"34",11784,"TCGA-HNSC","AHCTF1",-0.00467869334776339,0.385341837337288,0.705821858716507
"35",11785,"TCGA-HNSC","AHCY",0.0283608827705627,-2.79701482238449,0.0116440881929455
"36",11786,"TCGA-HNSC","AHCYL1",0.0627938304329004,-2.5049613262338,0.026286550939754
"37",11787,"TCGA-HNSC","AHR",0.027440351010101,-2.8446727643541,0.00835009353528275
"38",11788,"TCGA-HNSC","AIFM1",0.0357667896103896,-2.61200750323633,0.0185559509812178
"39",11789,"TCGA-HNSC","AK2",0.0588744441847042,-1.7649993590624,0.101762218073032
"40",11790,"TCGA-HNSC","AK6",-0.00146658718614723,0.0513456732454675,0.95966151606996
"41",11791,"TCGA-HNSC","AKIRIN2",0.0174792007503608,-0.767690507029773,0.455082130802329
