ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,Term,Index
GO:0099132,ATP hydrolysis coupled cation transmembrane transport,4/93,54/17913,0.000176529,0.036697421,0.034255324,ATP6V0E1/ATP5F1E/ATP5F1C/ATP2B1,4,Biological Process,1
GO:0051156,Glucose 6-phosphate metabolic process,3/93,21/17913,0.000168371,0.036697421,0.034255324,RPE/HK2/TKT,3,Biological Process,2
GO:0005759,Mitochondrial matrix,12/96,448/18678,3.16E-06,0.000667157,0.00060575,C1QBP/PPA2/FECH/POLG/PDHA1/ATP5F1E/PITRM1/ATP5F1C/ISCA1/MTRF1L/GRPEL1/MRM2,12,Cell Component,3
GO:0005743,Mitochondrial inner membrane,9/96,445/18678,0.000473768,0.039921106,0.036246652,MTCH2/FECH/COX7C/NOA1/ATP5F1E/COA3/UQCRFS1/ATP5F1C/COX11,9,Cell Component,4
GO:0044455,Mitochondrial membrane part,6/96,199/18678,0.000567599,0.039921106,0.036246652,NOA1/ATP5F1E/COA3/UQCRFS1/ATP5F1C/COX11,6,Cell Component,5
hsa00190,Oxidative phosphorylation,7/41,132/5894,2.87E-05,0.002383324,0.002236727,ATP6V0E1/PPA2/COX7C/ATP5F1E/UQCRFS1/ATP5F1C/COX11,7,KEGG,6
hsa00100,Steroid biosynthesis,2/41,19/5894,0.007491256,0.207258091,0.194509813,FDFT1/SQLE,2,KEGG,7
GO:0019829,Cation-transporting ATPase activity,3/92,37/16969,0.001048583,0.060334507,0.052089348,ATP6V0E1/ATP5F1E/ATP2B1,3,Molecular Function,8
GO:0022853,Active ion transmembrane transporter activity,3/92,38/16969,0.001134016,0.060334507,0.052089348,ATP6V0E1/ATP5F1E/ATP2B1,3,Molecular Function,9
GO:0042625,ATPase coupled ion transmembrane transporter activity,3/92,38/16969,0.001134016,0.060334507,0.052089348,ATP6V0E1/ATP5F1E/ATP2B1,3,Molecular Function,10
