Gene,N1,Adverse,N2,Protective
group_MED24,3,TCGA-BLCA;TCGA-LGG;TCGA-LUSC,6,TCGA-ACC;TCGA-CESC;TCGA-COAD;TCGA-ESCA;TCGA-KIRC;TCGA-SARC
group_NSMCE2,6,TCGA-BLCA;TCGA-LGG;TCGA-MESO;TCGA-OV;TCGA-THCA;TCGA-UCEC,3,TCGA-COAD;TCGA-ESCA;TCGA-KIRC
group_SNRPD3,1,TCGA-KIRC,8,TCGA-ACC;TCGA-CESC;TCGA-HNSC;TCGA-LGG;TCGA-LUAD;TCGA-OV;TCGA-PAAD;TCGA-UCEC
group_CDH2,7,TCGA-BLCA;TCGA-CESC;TCGA-HNSC;TCGA-LGG;TCGA-LUSC;TCGA-MESO;TCGA-PAAD,1,TCGA-KIRC
group_CRK,7,TCGA-CESC;TCGA-LGG;TCGA-LUAD;TCGA-LUSC;TCGA-MESO;TCGA-OV;TCGA-PAAD,1,TCGA-KIRC
group_CSTF2,7,TCGA-BLCA;TCGA-HNSC;TCGA-LGG;TCGA-MESO;TCGA-OV;TCGA-PAAD;TCGA-UCEC,1,TCGA-KIRC
group_EGFR,7,TCGA-BLCA;TCGA-CESC;TCGA-HNSC;TCGA-LUSC;TCGA-MESO;TCGA-OV;TCGA-PAAD,1,TCGA-KIRC
group_EIF2S2,4,TCGA-BLCA;TCGA-LUSC;TCGA-OV;TCGA-THCA,4,TCGA-COAD;TCGA-ESCA;TCGA-KIRC;TCGA-SARC
group_FOSL1,7,TCGA-HNSC;TCGA-LGG;TCGA-LUSC;TCGA-MESO;TCGA-PAAD;TCGA-THCA;TCGA-THYM,1,TCGA-SARC
group_GRHL2,5,TCGA-BLCA;TCGA-CESC;TCGA-OV;TCGA-PAAD;TCGA-UVM,3,TCGA-ACC;TCGA-KIRC;TCGA-READ
group_HSPA9,1,TCGA-KIRC,7,TCGA-ACC;TCGA-BLCA;TCGA-LGG;TCGA-LUAD;TCGA-PAAD;TCGA-SARC;TCGA-UVM
group_INTS13,6,TCGA-BLCA;TCGA-CESC;TCGA-HNSC;TCGA-LGG;TCGA-LUAD;TCGA-MESO,2,TCGA-COAD;TCGA-KIRC
group_KATNB1,5,TCGA-HNSC;TCGA-LGG;TCGA-MESO;TCGA-OV;TCGA-PAAD,3,TCGA-COAD;TCGA-ESCA;TCGA-SARC
group_KIF18A,6,TCGA-CESC;TCGA-LGG;TCGA-LUSC;TCGA-MESO;TCGA-OV;TCGA-PAAD,2,TCGA-ACC;TCGA-KIRC
group_MAPK1,6,TCGA-BLCA;TCGA-HNSC;TCGA-LGG;TCGA-LUSC;TCGA-MESO;TCGA-OV,2,TCGA-KIRC;TCGA-SARC
group_MRPL28,7,TCGA-BLCA;TCGA-HNSC;TCGA-LGG;TCGA-LUSC;TCGA-MESO;TCGA-OV;TCGA-THCA,1,TCGA-BRCA
group_PFDN4,7,TCGA-BLCA;TCGA-HNSC;TCGA-LGG;TCGA-MESO;TCGA-OV;TCGA-PAAD;TCGA-UVM,1,TCGA-KIRC
group_PNPT1,5,TCGA-BLCA;TCGA-HNSC;TCGA-LGG;TCGA-LUSC;TCGA-OV,3,TCGA-BRCA;TCGA-KIRC;TCGA-STAD
group_POLR2B,1,TCGA-KIRC,7,TCGA-ACC;TCGA-BLCA;TCGA-BRCA;TCGA-CESC;TCGA-LUAD;TCGA-MESO;TCGA-PAAD
group_POU2AF1,4,TCGA-LUAD;TCGA-LUSC;TCGA-MESO;TCGA-SKCM,4,TCGA-ACC;TCGA-CHOL;TCGA-COAD;TCGA-KIRC
group_PTK2,6,TCGA-CESC;TCGA-HNSC;TCGA-LGG;TCGA-LUSC;TCGA-MESO;TCGA-OV,2,TCGA-ACC;TCGA-SARC
group_SF1,2,TCGA-READ;TCGA-UCS,6,TCGA-ACC;TCGA-HNSC;TCGA-KIRP;TCGA-LUAD;TCGA-SARC;TCGA-UCEC
group_SOX2,6,TCGA-BLCA;TCGA-HNSC;TCGA-LGG;TCGA-LUSC;TCGA-MESO;TCGA-THCA,0,0
group_WEE1,0,0,6,TCGA-ACC;TCGA-BRCA;TCGA-LUAD;TCGA-MESO;TCGA-PAAD;TCGA-STAD
